,st_code,st_name,交易所產業分類,TEJ產業分類,歆凱分組,date,近一日漲跌％,近一週漲跌％,近一月漲跌％
1388,3406,玉晶光,M2326 光電業,M23U1 光學鏡頭,ML無分,2023/03/29,1.56,-1.14,-0.89
1389,3441,聯一光,M2326 光電業,M23U1 光學鏡頭,ML無分,2023/03/29,-1.22,-3.36,10.0
1390,3465,進泰電子,M2328 電子零組件,M23U2 音響設備,ML無分,2023/03/29,-0.11,1.86,-2.31
1391,3630,新鉅科,M2326 光電業,M23U1 光學鏡頭,ML無分,2023/03/29,-1.18,-4.55,2.08
1392,4976,佳凌,M2326 光電業,M23U1 光學鏡頭,ML無分,2023/03/29,-0.31,-5.95,20.47
1393,5225,東科-KY,M2331 其他電子業,M23U2 音響設備,ML無分,2023/03/29,-2.84,-2.0,-0.13
1394,6201,亞弘電,M2331 其他電子業,M23U2 音響設備,ML無分,2023/03/29,0.0,0.12,-0.23
1395,6209,今國光,M2326 光電業,M23U1 光學鏡頭,ML無分,2023/03/29,-0.57,-0.19,2.54
1396,6225,天瀚,M2326 光電業,M23UZ 消費性電子,ML無分,2023/03/29,2.36,0.46,-9.96
1397,6517,保勝光學,M2326 光電業,M23U1 光學鏡頭,ML無分,2023/03/29,-2.22,42.3,46.47
1398,6668,中揚光,M2326 光電業,M23U1 光學鏡頭,ML無分,2023/03/29,-2.47,-1.43,1.22
1399,6743,安普新,M2331 其他電子業,M23U2 音響設備,ML無分,2023/03/29,0.92,1.11,26.27
1400,6859,伯特光,M2326 光電業,M23U1 光學鏡頭,ML無分,2023/03/29,0.0,-6.97,0.99
1401,7402,邑錡,M2326 光電業,M23UZ 消費性電子,ML無分,2023/03/29,6.17,-0.39,94.85
1402,2427,三商電,M2330 資訊服務業,M23X1 系統整合,ML無分,2023/03/29,-0.66,-1.64,16.34
1403,2453,凌群,M2330 資訊服務業,M23X1 系統整合,ML無分,2023/03/29,3.19,-3.0,36.07
1404,2468,華經,M2330 資訊服務業,M23X1 系統整合,ML無分,2023/03/29,0.41,-4.07,-10.81
1405,2471,資通,M2330 資訊服務業,M23X1 系統整合,ML無分,2023/03/29,1.43,-2.37,24.37
1406,2480,敦陽科,M2330 資訊服務業,M23X1 系統整合,ML無分,2023/03/29,-1.04,-1.95,1.71
1407,3029,零壹,M2330 資訊服務業,M23X9 應用軟體,ML無分,2023/03/29,0.0,-1.07,12.1
1408,3147,大綜,M2330 資訊服務業,M23X1 系統整合,ML無分,2023/03/29,-0.8,-2.66,3.15
1409,3570,大塚,M2330 資訊服務業,M23X9 應用軟體,ML無分,2023/03/29,-0.43,-1.28,9.48
1410,4953,緯軟,M2330 資訊服務業,M23X1 系統整合,ML無分,2023/03/29,-0.43,-0.43,11.54
1411,4994,傳奇,M2330 資訊服務業,M23X2 遊戲軟體,ML無分,2023/03/29,-0.63,1.28,13.94
1412,5201,凱衛,M2330 資訊服務業,M23X1 系統整合,ML無分,2023/03/29,0.0,-0.18,0.37
1413,5202,力新,M2330 資訊服務業,M23X9 應用軟體,ML無分,2023/03/29,0.0,0.0,1.38
1414,5203,訊連,M2330 資訊服務業,M23X9 應用軟體,ML無分,2023/03/29,-1.4,1.93,12.71
1415,5210,寶碩,M2330 資訊服務業,M23X1 系統整合,ML無分,2023/03/29,-1.99,-8.97,-7.01
1416,5211,蒙恬,M2330 資訊服務業,M23X9 應用軟體,ML無分,2023/03/29,2.04,-0.17,47.42
1417,5212,凌網,M2330 資訊服務業,M23X1 系統整合,ML無分,2023/03/29,0.0,-0.6,-0.8
1418,5310,天剛,M2330 資訊服務業,M23X1 系統整合,ML無分,2023/03/29,0.39,6.25,2.82
1419,5403,中菲,M2330 資訊服務業,M23X1 系統整合,ML無分,2023/03/29,-0.81,-2.96,9.09
1420,6112,邁達特,M2330 資訊服務業,M23X1 系統整合,ML無分,2023/03/29,-0.62,-1.48,2.96
1421,6140,訊達,M2330 資訊服務業,M23X1 系統整合,ML無分,2023/03/29,-3.29,-7.22,13.22
1422,6148,驊宏資,M2330 資訊服務業,M23X1 系統整合,ML無分,2023/03/29,-1.79,-6.36,17.85
1423,6214,精誠,M2330 資訊服務業,M23X1 系統整合,ML無分,2023/03/29,0.13,-1.13,3.56
