代號,名稱,預估月,yoy,mom,預估營收（百萬）,TEJ產業
2312,金寶,* 2023/02,0.015,0.015,13401.0,M2331 其他電子業
2535,達欣工,* 2023/02,0.015,0.015,1173.0,M2500 建材營造
3557,嘉威,* 2023/02,0.014,0.014,419.0,M9900 其他
2428,興勤,* 2023/03,0.014,0.036,577.0,M2328 電子零組件
1503,士電,* 2023/03,0.014,0.064,2798.0,M1500 電機機械
3580,友威科,* 2023/03,0.013,-0.034,58.0,M2331 其他電子業
3413,京鼎,* 2023/03,0.013,0.093,1176.0,M2324 半導體
2103,台橡,* 2023/03,0.013,0.184,3145.0,M2100 橡膠工業
3528,安馳,* 2023/03,0.012,0.097,578.0,M2329 電子通路業
1264,德麥,* 2023/03,0.012,0.123,431.0,M1200 食品工業
4175,杏一,* 2023/03,0.012,0.087,587.0,M1722 生技醫療
9942,茂順,* 2023/03,0.012,-0.03,367.0,M9900 其他
6194,育富,* 2023/03,0.012,0.058,93.0,M2328 電子零組件
3701,大眾控,* 2023/03,0.012,0.046,945.0,M2325 電腦及週邊
1216,統一,* 2023/03,0.011,0.047,42586.0,M1200 食品工業
1217,愛之味,* 2023/03,0.011,0.264,390.0,M1200 食品工業
2402,毅嘉,* 2023/03,0.011,0.09,647.0,M2328 電子零組件
2102,泰豐,* 2023/03,0.01,0.512,136.0,M2100 橡膠工業
2324,仁寶,* 2023/02,0.01,0.01,67667.0,M2325 電腦及週邊
4909,新復興,* 2023/03,0.01,0.169,51.0,M2327 通信網路業
2748,雲品,* 2023/03,0.01,-0.126,175.0,M2700 觀光事業
2382,廣達,* 2023/02,0.01,0.01,84153.0,M2325 電腦及週邊
2393,億光,* 2023/02,0.009,0.009,1417.0,M2326 光電業
2916,滿心,* 2023/03,0.009,0.047,116.0,M2900 貿易百貨
1795,美時,* 2023/03,0.009,0.102,1197.0,M1722 生技醫療
5601,台聯櫃,* 2023/03,0.009,0.006,7.0,M2600 航運業
2362,藍天,* 2023/02,0.008,0.008,1715.0,M2325 電腦及週邊
2373,震旦行,* 2023/03,0.007,0.011,1006.0,M2331 其他電子業
3008,大立光,* 2023/03,0.007,0.475,3784.0,M2326 光電業
2707,晶華,* 2023/02,0.007,0.007,498.0,M2700 觀光事業
6191,精成科,* 2023/02,0.007,0.007,1698.0,M2328 電子零組件
6538,倉和,* 2023/03,0.007,0.155,129.0,M2328 電子零組件
2832,台產,* 2023/03,0.006,-0.09,495.0,M2800 金融業
8401,白紗科,* 2023/03,0.006,0.114,123.0,M9900 其他
9960,邁達康,* 2023/02,0.006,0.006,62.0,M2900 貿易百貨
2820,華票,* 2023/03,0.005,-0.53,150.0,M2800 金融業
2406,國碩,* 2023/03,0.005,0.603,572.0,M2326 光電業
5230,雷笛克光學,* 2023/03,0.004,0.2,106.0,M2326 光電業
3663,鑫科,* 2023/03,0.004,0.254,239.0,M2331 其他電子業
5515,建國,* 2023/03,0.003,0.155,387.0,M2500 建材營造
2207,和泰車,* 2023/03,0.003,-0.022,21278.0,M2200 汽車工業
2476,鉅祥,* 2023/03,0.003,0.167,534.0,M2328 電子零組件
1268,漢來美食,* 2023/03,0.003,-0.142,313.0,M2700 觀光事業
3293,鈊象,* 2023/03,0.002,-0.041,1015.0,M3200 文化創意業
3551,世禾,* 2023/03,0.002,-0.001,193.0,M2331 其他電子業
3045,台灣大,* 2023/03,0.002,-0.024,13402.0,M2327 通信網路業
1259,安心,* 2023/02,0.002,0.002,437.0,M2700 觀光事業
2723,美食-KY,* 2023/03,0.002,-0.006,1620.0,M2700 觀光事業
5439,高技,* 2023/03,0.002,-0.221,275.0,M2328 電子零組件
6754,匯僑設計,* 2023/03,0.001,0.231,344.0,M9900 其他
8454,富邦媒,* 2023/03,0.001,-0.045,7540.0,M2900 貿易百貨
3017,奇鋐,* 2023/03,0.001,-0.014,4198.0,M2325 電腦及週邊
1788,杏昌,* 2023/02,0.001,0.001,285.0,M1722 生技醫療
2497,怡利電,* 2023/03,0.001,0.242,273.0,M2200 汽車工業
3537,堡達,* 2023/02,0.0,0.0,191.0,M2328 電子零組件
2013,中鋼構,* 2023/02,-0.0,-0.0,1218.0,M2000 鋼鐵工業
8431,匯鑽科,* 2023/03,-0.0,0.178,91.0,M2331 其他電子業
3479,安勤,* 2023/03,-0.001,0.089,678.0,M2325 電腦及週邊
8249,菱光,* 2023/03,-0.001,-0.137,306.0,M2328 電子零組件
2323,中環,* 2023/03,-0.002,0.257,672.0,M2326 光電業
6666,羅麗芬-KY,* 2023/03,-0.002,0.15,79.0,M1722 生技醫療
8131,福懋科,* 2023/03,-0.002,0.2,881.0,M2324 半導體
4711,永純,* 2023/02,-0.002,-0.002,85.0,M1721 化學工業
6508,惠光,* 2023/03,-0.004,0.672,272.0,M3300 農業科技
4416,三圓,* 2023/02,-0.004,-0.004,8.0,M2500 建材營造
6670,復盛應用,* 2023/03,-0.004,0.386,2806.0,M9900 其他
4904,遠傳,* 2023/03,-0.004,-0.011,7080.0,M2327 通信網路業
2618,長榮航,* 2023/03,-0.005,-0.17,10693.0,M2600 航運業
2201,裕隆,* 2023/03,-0.005,0.127,6395.0,M2200 汽車工業
5704,老爺知,* 2023/03,-0.005,-0.123,39.0,M2700 觀光事業
6207,雷科,* 2023/03,-0.006,0.809,108.0,M2328 電子零組件
2640,大車隊,* 2023/03,-0.006,0.111,211.0,M9900 其他
3003,健和興,* 2023/03,-0.006,0.201,403.0,M2328 電子零組件
8480,泰昇-KY,* 2022/12,-0.006,-0.056,148.0,M9900 其他
4905,台聯電,* 2023/02,-0.007,-0.007,3.0,M2327 通信網路業
4930,燦星網,* 2023/02,-0.007,-0.007,420.0,M1600 電器電纜
1464,得力,* 2023/03,-0.007,0.239,1132.0,M1400 紡織纖維
6767,台微醫,* 2023/03,-0.007,-0.221,17.0,M1722 生技醫療
1342,八貫,* 2023/03,-0.007,0.466,218.0,M9900 其他
2884,玉山金,* 2023/03,-0.008,0.285,4644.0,M2800 金融業
3031,佰鴻,* 2023/03,-0.008,0.162,129.0,M2326 光電業
5201,凱衛,* 2023/02,-0.009,-0.009,16.0,M2330 資訊服務業
5469,瀚宇博,* 2023/02,-0.009,-0.009,3191.0,M2328 電子零組件
2903,遠百,* 2023/03,-0.009,0.241,3086.0,M2900 貿易百貨
8210,勤誠,* 2023/03,-0.01,0.506,806.0,M2325 電腦及週邊
4129,聯合,* 2023/03,-0.01,0.002,289.0,M1722 生技醫療
6671,三能-KY,* 2023/03,-0.01,0.249,160.0,M9900 其他
6641,基士德-KY,* 2023/03,-0.01,0.104,142.0,M9900 其他
1731,美吾華,* 2023/03,-0.01,0.07,97.0,M1722 生技醫療
8093,保銳,* 2023/03,-0.011,0.267,26.0,M2328 電子零組件
4716,大立,* 2023/03,-0.011,0.405,69.0,M1721 化學工業
4919,新唐,* 2023/02,-0.012,-0.012,2941.0,M2324 半導體
9918,欣天然,* 2023/03,-0.012,0.177,224.0,M9700 油電燃氣業
8109,博大,* 2023/03,-0.012,-0.096,143.0,M2328 電子零組件
6214,精誠,* 2023/03,-0.013,0.083,2779.0,M2330 資訊服務業
3563,牧德,* 2023/03,-0.014,0.098,201.0,M2326 光電業
1905,華紙,* 2023/03,-0.014,0.147,2185.0,M1900 造紙工業
1582,信錦,* 2023/02,-0.014,-0.014,576.0,M2328 電子零組件
5015,華祺,* 2023/03,-0.014,0.552,219.0,M2000 鋼鐵工業
