歆凱分組,代號,名稱,new_industry,minor_industry,industry_title
0,1101,台泥,水泥製造,,水泥製造類
0,1102,亞泥,水泥製造,,水泥製造類
1,1210,大成,油脂飼料,,油脂飼料類
1,1215,卜蜂,油脂飼料,,油脂飼料類
1,1227,佳格,其他食品,,其他食品類
1,1702,南僑,油脂飼料,,油脂飼料類
2,1310,台苯,石化,泛用塑膠,石化:泛用塑膠類
2,1314,中石化,石化,化纖,石化:化纖類
2,1718,中纖,石化,化纖,石化:化纖類
2,2515,中工,營造,,營造類
2,4306,炎洲,石化,膠帶,石化:膠帶類
3,1476,儒鴻,成衣,成衣製造,成衣:成衣製造類
3,1477,聚陽,成衣,成衣製造,成衣:成衣製造類
3,9910,豐泰,鞋及旅行箱,,鞋及旅行箱類
4,1513,中興電,電機製品,電機,電機製品:電機類
4,1514,亞力,電機製品,電機,電機製品:電機類
4,1519,華城,電機製品,電機,電機製品:電機類
5,1319,東陽,汽車組件,,汽車組件類
5,1522,堤維西,汽車組件,,汽車組件類
5,1524,耿鼎,汽車組件,,汽車組件類
5,1568,倉佑,汽車組件,,汽車組件類
5,6605,帝寶,汽車組件,,汽車組件類
6,1517,利奇,自行車組件,,自行車組件類
6,1526,日馳,自行車組件,,自行車組件類
6,3038,全台,光電/ IO,LCD-其他,光電/ IO:LCD-其他類
7,1590,亞德客-KY,機械業,模具零件,機械業:模具零件類
7,2049,上銀,機械業,模具零件,機械業:模具零件類
8,1701,中化,藥,西藥,藥:西藥類
8,1789,神隆,藥,西藥,藥:西藥類
8,4167,松瑞藥,藥,西藥,藥:西藥類
9,1217,愛之味,罐頭加工,,罐頭加工類
9,1714,和桐,清潔劑,,清潔劑類
10,1711,永光,染料及顏料,,染料及顏料類
10,1721,三晃,樹脂,,樹脂類
10,1727,中華化,其他化學,,其他化學類
11,1773,勝一,其他化學,,其他化學類
11,4755,三福化,其他化學,,其他化學類
12,1806,冠軍,玻璃陶瓷,,玻璃陶瓷類
12,1809,中釉,玻璃陶瓷,,玻璃陶瓷類
12,1810,和成,玻璃陶瓷,,玻璃陶瓷類
12,2913,農林,貿易業,,貿易業類
13,1903,士紙,造紙,,造紙類
13,1904,正隆,造紙,,造紙類
13,1905,華紙,紙漿,,紙漿類
13,1907,永豐餘,造紙,,造紙類
13,1909,榮成,造紙,,造紙類
14,2105,正新,輪胎,,輪胎類
14,2106,建大,輪胎,,輪胎類
14,2505,國揚,建設,,建設類
15,2108,南帝,橡膠原料,,橡膠原料類
15,6582,申豐,橡膠原料,,橡膠原料類
16,2201,裕隆,汽車製造,,汽車製造類
16,2204,中華,汽車製造,,汽車製造類
17,2323,中環,光電/ IO,光碟,光電/ IO:光碟類
17,2349,錸德,光電/ IO,光碟,光電/ IO:光碟類
17,2359,所羅門,資訊通路,零組件代理,資訊通路:零組件代理類
17,2461,光群雷,石化,塑膠加工,石化:塑膠加工類
18,2317,鴻海,PC系統,PC,PC系統:PC類
18,2328,廣宇,電子零組件,連接器,電子零組件:連接器類
18,2354,鴻準,電子零組件,機殼,電子零組件:機殼類
18,3149,正達,光電/ IO,觸控面板,光電/ IO:觸控面板類
18,5243,乙盛-KY,電子零組件,沖壓零組件,電子零組件:沖壓零組件類
19,2308,台達電,電子零組件,電源供應器,電子零組件:電源供應器類
19,2330,台積電,半導體,晶圓代工,半導體:晶圓代工類
19,2454,聯發科,半導體,IC設計,半導體:IC設計類
19,3711,日月光投控,半導體,IC封測,半導體:IC封測類
19,5347,世界,半導體,晶圓代工,半導體:晶圓代工類
20,2331,精英,主機板,主機板,主機板:主機板類
20,2371,大同,電機製品,電機,電機製品:電機類
21,2337,旺宏,半導體,記憶體製造,半導體:記憶體製造類
21,2344,華邦電,半導體,記憶體製造,半導體:記憶體製造類
21,2408,南亞科,半導體,記憶體製造,半導體:記憶體製造類
21,8110,華東,半導體,IC封測,半導體:IC封測類
22,2376,技嘉,主機板,主機板,主機板:主機板類
22,2377,微星,主機板,主機板,主機板:主機板類
23,2379,瑞昱,半導體,IC設計,半導體:IC設計類
23,3034,聯詠,半導體,IC設計,半導體:IC設計類
23,4966,譜瑞-KY,半導體,IC設計,半導體:IC設計類
24,2399,映泰,主機板,主機板,主機板:主機板類
24,2425,承啟,主機板,繪圖卡,主機板:繪圖卡類
24,2465,麗臺,主機板,繪圖卡,主機板:繪圖卡類
24,5386,青雲,主機板,繪圖卡,主機板:繪圖卡類
24,6150,撼訊,主機板,繪圖卡,主機板:繪圖卡類
25,1533,車王電,汽車組件,,汽車組件類
25,2415,錩新,消費性電子,音響設備,消費性電子:音響設備類
25,2497,怡利電,汽車組件,,汽車組件類
25,3552,同致,汽車組件,,汽車組件類
25,4939,亞電,主機板,FCCL,主機板:FCCL類
26,2457,飛宏,電子零組件,電源供應器,電子零組件:電源供應器類
26,3058,立德,電子零組件,電源供應器,電子零組件:電源供應器類
26,6129,普誠,半導體,IC設計,半導體:IC設計類
27,2388,威盛,半導體,IC設計,半導體:IC設計類
27,2498,宏達電,通訊設備,網路服務,通訊設備:網路服務類
27,3508,位速,電子零組件,機殼,電子零組件:機殼類
27,6118,建達,資訊通路,3C通路,資訊通路:3C通路類
28,2603,長榮,海運,貨櫃輪,海運:貨櫃輪類
28,2609,陽明,海運,貨櫃輪,海運:貨櫃輪類
28,2615,萬海,海運,貨櫃輪,海運:貨櫃輪類
28,2636,台驊投控,貨運倉儲業,,貨運倉儲業類
28,5603,陸海,貨運倉儲業,,貨運倉儲業類
29,2610,華航,空運業,,空運業類
29,2618,長榮航,空運業,,空運業類
30,2608,嘉里大榮,貨運倉儲業,,貨運倉儲業類
30,2642,宅配通,貨運倉儲業,,貨運倉儲業類
31,2723,美食-KY,餐飲飯店,餐飲業,餐飲飯店:餐飲業類
