st_code,st_name,rev_period,rev,new_industry_name,minor_industry_name,mom,yoy
6213,聯茂,* 2023/03,2501.0,M2328 電子零組件,M23B3A 銅箔基板,0.21213589880288847,-0.0929
6214,精誠,* 2023/03,2779.0,M2330 資訊服務業,M23X1 系統整合,0.08300013250091583,-0.0131
6239,力成,* 2023/03,6388.0,M2324 半導體,M23G2 IC封測,0.22466507672369504,-0.1011
6244,茂迪,* 2023/03,459.0,M2326 光電業,M23C7C 太陽能電池,-0.043909348441926316,0.2136
6257,矽格,* 2023/03,1371.0,M2324 半導體,M23G2 IC封測,0.17220564471310468,-0.2082
6269,台郡,* 2023/03,2453.0,M2328 電子零組件,M23B2C 軟板,-0.02208579173975446,-0.2792
6271,同欣電,* 2023/02,985.0,M2324 半導體,M23G2 IC封測,0.02477137714707804,0.0248
6274,台燿,* 2023/03,1548.0,M2328 電子零組件,M23B3A 銅箔基板,0.23315170633782628,-0.1085
6278,台表科,* 2023/03,4482.0,M2326 光電業,M23B2B PCB 組裝,0.5235725430608104,-0.2553
6279,胡連,* 2023/03,533.0,M2328 電子零組件,M15D 汽車組件,0.05709922452946197,0.183
6282,康舒,* 2023/03,2177.0,M2328 電子零組件,M23D3 電源供應器,0.3857415658816041,-0.0681
6285,啟碁,* 2023/02,5641.0,M2327 通信網路業,M23K2 衛星微波,-0.31721157000185185,-0.3172
6414,樺漢,* 2023/03,8989.0,M2325 電腦及週邊,M23B5B 工業電腦,-0.055923087506445895,-0.06
6462,神盾,* 2023/03,332.0,M2324 半導體,M23G5 IC設計,0.03711108334374608,-0.1805
6488,環球晶,* 2023/03,6463.0,M2324 半導體,M23G3C 晶圓材料,0.08055601068685438,0.1271
6504,南六,* 2023/03,498.0,M9900 其他,M14F 不織布,0.11709286675639297,0.0267
6510,精測,* 2023/03,331.0,M2324 半導體,M23B2D 硬板及其他,0.484304932735426,0.0223
6547,高端疫苗,* 2023/03,44.0,M1722 生技醫療,M17C1 西藥,inf,-0.499
6605,帝寶,* 2023/02,1207.0,M2200 汽車工業,M15D 汽車組件,-0.21370127162810088,-0.2137
6669,緯穎,* 2023/03,22653.0,M2325 電腦及週邊,M23A2 泛用電腦,-0.01485780388046791,-0.0671
8039,台虹,* 2023/03,624.0,M2328 電子零組件,M23B3C FCCL,0.44692296990214725,-0.2355
8044,網家,* 2023/03,3552.0,M3400 電子商務,M23K4 電商及XaaS,0.07408527366192924,-0.0498
8046,南電,* 2023/03,4743.0,M2328 電子零組件,M23B2A IC載板,0.15416062372854972,-0.088
8069,元太,* 2023/03,2428.0,M2326 光電業,M23C8A LCD 面板,0.03491340911900219,0.0417
8081,致新,* 2023/03,657.0,M2324 半導體,M23G5 IC設計,0.23756781193490056,-0.2992
8086,宏捷科,* 2023/03,159.0,M2324 半導體,M23G3A 化合物SEMI,0.5150071462601238,-0.1277
8150,南茂,* 2023/03,1890.0,M2324 半導體,M23G2 IC封測,0.314956411630059,-0.1976
8163,達方,* 2023/03,2165.0,M2325 電腦及週邊,M23C3 PC週邊,0.1794637117423376,-0.2134
8299,群聯,* 2023/03,5135.0,M2324 半導體,M23G5 IC設計,0.5680011725656287,-0.1951
8358,金居,* 2023/02,605.0,M2328 電子零組件,M23B3X PCB材-其他,0.038483985032098524,0.0385
8422,可寧衛,* 2023/03,510.0,M9900 其他,M99L2 廢棄物處理,0.10006255257651903,0.3293
8436,大江,* 2023/03,644.0,M1722 生技醫療,M17C2 機能性食品,0.14790916544864716,0.1721
8936,國統,* 2023/03,244.0,M9900 其他,M20B 金屬製品,0.5050579817419195,-0.2656
8942,森鉅,* 2023/03,495.0,M9900 其他,M13A8 塑膠加工,-0.02683574166912411,-0.0783
9904,寶成,* 2023/03,24523.0,M9900 其他,M99K 鞋及旅行箱,0.3450976584890127,0.1109
9907,統一實,* 2023/03,3318.0,M9900 其他,M20B 金屬製品,0.0765771465838631,-0.0506
9914,美利達,* 2023/03,3239.0,M9900 其他,M99Z1 自行健行車,0.19980293449794595,-0.0294
9938,百和,* 2023/03,1987.0,M9900 其他,M14Z 其他紡織,0.8580512436880492,0.0832
9939,宏全,* 2023/02,1527.0,M9900 其他,M13B 塑膠製品,-0.20239855000548448,-0.2024
9941,裕融,* 2023/03,3039.0,M9900 其他,M28K 租賃業,-0.039573733811176154,0.0448
9945,潤泰新,* 2023/03,2136.0,M9900 其他,M25A 建設,-0.23112918901407434,-0.0743
