可轉債名稱,可轉債代碼,擔保銀行/信用評等(TCRI),權利金(佰元報價),選擇權到期日,賣回價格(A),賣回日期(B),剩餘年期,折現率(C),權利金參考價,現股參考價,轉換價格,CB轉換價值,CB參考價,溢(折)價%,股價波動率120天%,股價波動率240天%,流通餘額占發行總額%,原始發行量,產業,,,
崧騰二,34842,5,3.97 ,2024/1/22,100,2024/2/5,0.98,3.75%,6.47 ,45.8,67.2,68.15 ,102.5,50.4 ,35.17,34.85,100,"300,000,000 ",電子–電子零組件,,,
森寶一,34891,合庫,2.05 ,2023/11/30,100,2023/12/14,0.83,2.10%,5.15 ,10.3,12.8,80.47 ,103.1,28.1 ,18.98,24.75,100,"100,000,000 ",建材營建,,,
皇龍一,35121,一銀,0.34 ,2023/5/3,100.5,2023/5/17,0.25,2.10%,5.19 ,28.6,33.3,85.89 ,104.85,22.1 ,12.18,14.94,100,"400,000,000 ",建材營建,,,
凡甲四,35264,5,2.50 ,2023/9/16,100,2023/9/30,0.63,3.50%,86.50 ,129.5,77.3,167.53 ,184,9.8 ,39.51,40.78,27.83,"600,000,000 ",電子–電子零組件,,,
凡甲五,35265,5,7.83 ,2025/1/31,100,2025/2/14,2.01,3.75%,11.83 ,129.5,190.6,67.94 ,104,53.1 ,39.51,40.78,100,"800,000,000 ",電子–電子零組件,,,
兆利一,35481,5,8.58 ,2025/4/14,100,2025/4/28,2.21,3.75%,18.58 ,65.5,69.7,93.97 ,110,17.1 ,28.55,36.59,100,"400,000,000 ",電子–電子零組件,,,
聯合再生三,35763,一銀等,4.04 ,2024/10/11,100,2024/10/25,1.70,2.20%,16.84 ,20.7,20.5,100.98 ,112.8,11.7 ,26.69,31.62,100,"3,000,000,000 ",電子–光電,,,
友威科二,35802,土銀,-0.20 ,2023/4/29,101.0025,2023/5/13,0.24,2.10%,14.30 ,62,63.5,97.64 ,114.5,17.3 ,45.37,41.55,100,"300,000,000 ",電子–其他電子,,,
艾笛森三,35913,富邦銀,1.54 ,2024/1/11,100.7519,2024/1/25,0.95,2.10%,25.49 ,21.65,17.9,120.95 ,123.95,2.5 ,44.5,44.16,59.26,"300,000,000 ",電子–光電,,,
宏致二,36052,5,5.90 ,2024/11/8,101.5075,2024/11/22,1.78,4.00%,6.40 ,32.7,48.5,67.42 ,100.5,49.1 ,32.92,38.26,99.81,"600,000,000 ",電子–電子零組件,,,
晟楠三,36313,新光銀,2.67 ,2024/2/27,100,2024/3/12,1.08,2.20%,3.67 ,37.5,56.8,66.02 ,101,53.0 ,32.87,31.87,100,"300,000,000 ",電子–電子零組件,,,
達邁一,36451,6,6.06 ,2024/6/7,100,2024/6/21,1.35,4.25%,3.51 ,33.55,55.3,60.67 ,97.45,60.6 ,35.86,47.1,100,"600,000,000 ",電子–電子零組件,,,
健策三,36533,4,2.29 ,2023/10/16,100,2023/10/30,0.71,2.80%,34.79 ,393.5,306.7,128.30 ,132.5,3.3 ,44.1,51.4,62.28,"2,000,000,000 ",電子–電子零組件,,,
家登三,36803,6,5.89 ,2024/6/23,100,2024/7/7,1.40,4.00%,32.89 ,289.5,227.5,127.25 ,127,(0.2),47.98,48.65,80.24,"1,000,000,000 ",電子–半導體,,,
歐買尬一,36871,一銀,5.32 ,2025/4/22,100,2025/5/6,2.23,2.25%,7.07 ,89.3,150.6,59.30 ,101.75,71.6 ,49.23,53.77,100,"600,000,000 ",電子商務,,,
湧德三,36893,台中商銀,2.04 ,2023/11/27,100,2023/12/11,0.82,2.10%,13.94 ,33.4,31.72,105.30 ,111.9,6.3 ,31.22,37.63,15.56,"300,000,000 ",電子–電子零組件,,,
漢磊三,37073,一銀,3.29 ,2024/6/8,100,2024/6/22,1.36,2.20%,38.14 ,95.2,73.3,129.88 ,134.85,3.8 ,45.99,54.24,15,"600,000,000 ",電子–半導體,,,
漢磊四,37074,一銀,5.14 ,2025/3/24,100,2025/4/7,2.15,2.25%,17.14 ,95.2,118.4,80.41 ,112,39.3 ,45.99,54.24,100,"1,000,000,000 ",電子–半導體,,,
上緯投控三,37083,一銀,3.87 ,2024/9/13,100,2024/9/27,1.62,2.20%,18.87 ,101.5,97.8,103.78 ,115,10.8 ,41.27,49.57,93.52,"1,000,000,000 ",化學工業,,,
上緯投控四,37084,6,6.05 ,2024/9/14,100.75,2024/9/28,1.62,4.00%,21.05 ,101.5,93.8,108.21 ,115,6.3 ,41.27,49.57,62.27,"1,000,000,000 ",化學工業,,,
新晶投控一,37131,永豐銀,1.15 ,2024/2/25,101.51,2024/3/10,1.07,2.20%,5.15 ,30,53.8,55.76 ,104,86.5 ,46.72,38.81,100,"500,000,000 ",電子–光電,,,
晟德四,41234,上海銀,0.74 ,2023/8/24,100.75,2023/9/7,0.56,2.10%,3.34 ,47.9,67.8,70.65 ,102.6,45.2 ,24.87,23.56,100,"500,000,000 ",生技醫療,,,
訊映二,41552,玉山銀,-0.07 ,2023/5/21,101,2023/6/4,0.30,2.10%,51.93 ,33.45,21.91,152.67 ,152,(0.4),33.21,28.76,42.4,"300,000,000 ",生技醫療,,,
訊映三,41553,6,6.21 ,2024/9/14,101,2024/9/28,1.62,4.25%,33.21 ,33.45,27.04,123.71 ,127,2.7 ,33.21,28.76,93.73,"300,000,000 ",生技醫療,,,
承業醫四,41644,一銀等,3.35 ,2025/7/21,102.525,2025/8/4,2.47,2.25%,22.85 ,53.2,48.4,109.92 ,119.5,8.7 ,32.93,31.27,99.99,"1,500,000,000 ",生技醫療,,,
松瑞藥二,41672,一銀,0.12 ,2023/5/11,100.7519,2023/5/25,0.28,2.10%,2.72 ,20.65,24.78,83.33 ,102.6,23.1 ,54.01,47.98,75.18,"700,000,000 ",生技醫療,,,
醣聯三,41683,台新銀,3.32 ,2024/6/13,100,2024/6/27,1.37,2.20%,23.82 ,32.3,27.3,118.32 ,120.5,1.8 ,54.65,45.99,57.02,"400,000,000 ",生技醫療,,,
瑞基二,41712,上海銀,-0.86 ,2023/6/28,102.01,2023/7/12,0.41,2.10%,2.64 ,61.3,115,53.30 ,103.5,94.2 ,53.77,60.88,100,"200,000,000 ",農業科技,,,
