可轉債名稱,可轉債代碼,擔保銀行/信用評等(TCRI),權利金(佰元報價),選擇權到期日,賣回價格(A),賣回日期(B),剩餘年期,折現率(C),權利金參考價,現股參考價,轉換價格,CB轉換價值,CB參考價,溢(折)價%,股價波動率120天%,股價波動率240天%,流通餘額占發行總額%,原始發行量,產業,,,
明揚一,84201,6,11.56 ,2025/9/23,100,2025/10/7,2.65,4.25%,27.56 ,82.4,75,109.87 ,116,5.6 ,44.1,46.71,99.68,"500,000,000 ",其他,,,
可寧衛一,84221,4,8.57 ,2025/11/8,100.7519,2025/11/22,2.78,3.25%,20.07 ,185,170,108.82 ,111.5,2.5 ,15.9,18.21,100,"2,500,000,000 ",其他,,,
威宏一KY,84421,玉山銀,5.96 ,2025/8/5,100,2025/8/19,2.52,2.25%,22.46 ,74.1,64.1,115.60 ,116.5,0.8 ,32.08,34.12,95,"300,000,000 ",其他,,,
柏文二,84622,5,4.56 ,2023/12/23,100,2024/1/6,0.90,4.75%,11.06 ,134.5,142.4,94.45 ,106.5,12.8 ,32.14,30.38,24.15,"400,000,000 ",觀光事業,,,
波力一KY,84671,遠銀,0.25 ,2023/7/24,101.05,2023/8/7,0.48,2.10%,5.70 ,57.3,62.8,91.24 ,105.45,15.6 ,44.95,49.63,100,"300,000,000 ",其他,,,
北基五,89275,合庫,2.11 ,2023/12/9,100,2023/12/23,0.86,2.10%,146.11 ,37.95,15.59,243.43 ,244,0.2 ,20.3,27.73,33.73,"600,000,000 ",油電燃氣,,,
明安三,89383,4,7.85 ,2025/7/6,100,2025/7/20,2.43,3.10%,28.05 ,96.5,81,119.14 ,120.2,0.9 ,33.47,36.51,75.16,"1,000,000,000 ",其他,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
