,st_code,st_name,rev_period,rev,Year,month,mom,yoy,yoy年成長大於10,yoy成長,yoy衰退,yoy近五月大於10,yoy連續大於10,yoy近五月成長,yoy連續成長,yoy近五月衰退,yoy連續衰退
160291,8024,佑華,* 2023/02,23302.0,2023,02,-0.13029522636509536,-0.3901,0,0,1,0.0,0,1.0,0,4.0,1
160387,8027,鈦昇,* 2023/02,194456.0,2023,02,-0.1824324040244359,-0.0374,0,1,0,0.0,0,2.0,1,3.0,0
160484,8028,昇陽半導體,* 2023/02,246937.0,2023,02,-0.01502175881421443,0.1297,0,1,0,0.0,0,2.0,1,3.0,0
160581,8032,光菱,* 2023/02,260774.0,2023,02,-0.24557221299666143,-0.0016,0,1,0,0.0,0,2.0,1,3.0,0
160678,8033,雷虎,* 2023/02,80357.0,2023,02,-0.10268779382041919,0.1473,0,0,1,0.0,0,4.0,0,1.0,1
160774,8034,榮群,* 2023/02,16556.0,2023,02,-0.4471012556772642,0.3283,0,1,0,0.0,0,3.0,1,2.0,0
160871,8038,長園科,* 2023/02,18085.0,2023,02,0.1824898653066562,5.6513,0,1,0,1.0,0,2.0,1,3.0,0
160967,8039,台虹,* 2023/02,536292.0,2023,02,-0.25121262639378733,-0.0547,0,1,0,0.0,0,2.0,1,3.0,0
161064,8040,九暘,* 2023/02,78298.0,2023,02,-0.15922513583746753,-0.2221,0,0,1,0.0,0,0.0,0,5.0,5
161152,8041,東精電,* 2023/02,35558.0,2023,02,-0.3674979543918318,-0.2463,0,1,0,0.0,0,3.0,2,2.0,0
161249,8042,金山電,* 2023/02,247441.0,2023,02,-0.2162817877470093,-0.1736,0,1,0,0.0,0,2.0,2,3.0,0
161345,8043,蜜望實,* 2023/02,310769.0,2023,02,-0.4643216045754394,-0.3991,0,0,1,0.0,0,1.0,0,4.0,2
161442,8044,網家,* 2023/02,3492776.0,2023,02,-0.13961392224990732,-0.0559,0,1,0,0.0,0,3.0,1,2.0,0
161539,8045,達運光電,* 2023/02,61747.0,2023,02,-0.24968710128197338,-0.213,0,1,0,0.0,0,2.0,1,3.0,0
161636,8046,南電,* 2023/02,3860919.0,2023,02,-0.22838703926834927,-0.0631,0,1,0,0.0,0,2.0,1,3.0,0
161733,8047,星雲,* 2023/02,40199.0,2023,02,-0.31038564468537705,0.1604,0,1,0,0.0,0,2.0,1,3.0,0
161830,8048,德勝,* 2023/02,76510.0,2023,02,0.06505004384926988,-0.087,0,0,1,0.0,0,2.0,0,3.0,2
161927,8049,晶采,* 2023/02,149837.0,2023,02,-0.20129105165805788,0.2852,0,1,0,0.0,0,3.0,1,2.0,0
162024,8050,廣積,* 2023/02,422986.0,2023,02,-0.07280781936032582,0.1366,0,1,0,0.0,0,3.0,1,2.0,0
162121,8054,安國,* 2023/02,111886.0,2023,02,-0.17319302705378983,0.0216,0,1,0,0.0,0,2.0,1,3.0,0
162218,8059,凱碩,* 2023/02,90405.0,2023,02,0.15518783542039355,-0.1807,0,0,1,0.0,0,2.0,0,3.0,1
162315,8064,東捷,* 2023/02,236007.0,2023,02,-0.10240973019845284,0.3578,0,1,0,0.0,0,3.0,2,2.0,0
162411,8066,來思達,* 2023/02,252682.0,2023,02,-0.4532302179445012,-0.2074,0,1,0,0.0,0,2.0,1,3.0,0
162508,8067,志旭,* 2023/02,12291.0,2023,02,-0.08426464014304873,-0.1087,0,0,1,0.0,0,4.0,0,1.0,1
162604,8068,全達,* 2023/02,77017.0,2023,02,-0.4675373160125274,0.2335,0,1,0,0.0,0,2.0,1,3.0,0
162700,8069,元太,* 2023/02,1807676.0,2023,02,-0.20607670989815055,0.4093,0,1,0,0.0,0,3.0,1,2.0,0
162797,8070,長華*,* 2023/02,1455253.0,2023,02,-0.19927975217752542,-0.143,0,1,0,0.0,0,1.0,1,4.0,0
162894,8071,能率網通,* 2023/02,193484.0,2023,02,-0.2210851764478547,0.0161,0,1,0,0.0,0,2.0,1,3.0,0
162991,8072,陞泰,* 2023/02,72572.0,2023,02,-0.33447048897692677,-0.1337,0,1,0,0.0,0,1.0,1,4.0,0
163088,8074,鉅橡,* 2023/02,89937.0,2023,02,-0.26539463689158616,0.0084,0,1,0,0.0,0,2.0,1,3.0,0
163185,8076,伍豐,* 2023/02,183036.0,2023,02,-0.21965236594942808,0.1499,0,1,0,0.0,0,3.0,1,2.0,0
163282,8077,洛碁,* 2023/02,48703.0,2023,02,-0.10552994545354369,0.146,0,0,1,0.0,0,1.0,0,4.0,1
163379,8080,永利聯合,* 2023/02,8679.0,2023,02,-0.7392519152771518,-0.5862,0,0,1,0.0,0,2.0,0,3.0,1
163476,8081,致新,* 2023/02,542643.0,2023,02,-0.2642368248355308,-0.3111,0,1,0,0.0,0,2.0,1,3.0,0
163573,8083,瑞穎,* 2023/02,126715.0,2023,02,-0.0730499411123547,-0.1537,0,1,0,0.0,0,3.0,3,2.0,0
163669,8084,巨虹,* 2023/02,69009.0,2023,02,-0.23521328117207674,-0.1946,0,0,1,0.0,0,2.0,0,3.0,3
163766,8085,福華,* 2023/02,52934.0,2023,02,-0.37931357949415473,0.0694,0,1,0,0.0,0,2.0,1,3.0,0
163863,8086,宏捷科,* 2023/02,153989.0,2023,02,-0.2185798450241801,-0.1535,0,1,0,0.0,0,4.0,4,1.0,0
163960,8087,華鎂鑫,* 2023/02,26291.0,2023,02,-0.398347750469129,-0.3268,0,1,0,0.0,0,2.0,1,3.0,0
164057,8088,品安,* 2023/02,126142.0,2023,02,-0.281000450293831,0.2128,0,1,0,0.0,0,3.0,2,2.0,0
164154,8089,康全電訊,* 2023/02,118419.0,2023,02,-0.2553715942174796,-0.182,0,0,1,0.0,0,1.0,0,4.0,1
164250,8091,翔名,* 2023/02,128888.0,2023,02,-0.16666343387320984,-0.0697,0,1,0,0.0,0,2.0,1,3.0,0
164346,8092,建暐,* 2023/02,31765.0,2023,02,0.09871675140949812,-0.2446,0,1,0,0.0,0,2.0,1,3.0,0
164443,8093,保銳,* 2023/02,24164.0,2023,02,-0.15237827978111407,0.3561,0,0,1,0.0,0,3.0,0,2.0,1
164540,8096,擎亞,* 2023/02,1631716.0,2023,02,-0.28918112656520634,-0.2589,0,1,0,0.0,0,3.0,1,2.0,0
164637,8097,常珵,* 2023/02,82337.0,2023,02,0.37326750838100636,1.4525,0,1,0,0.0,0,2.0,1,3.0,0
164734,8099,大世科,* 2023/02,297817.0,2023,02,-0.18838790554442764,0.1575,0,1,0,0.0,0,3.0,1,2.0,0
164830,8101,華冠,* 2023/02,18648.0,2023,02,-0.6148698884758365,-0.4149,0,1,0,0.0,0,3.0,1,2.0,0
164927,8103,瀚荃,* 2023/02,189168.0,2023,02,-0.33022465346008817,-0.26,0,1,0,0.0,0,3.0,3,2.0,0
165018,8104,錸寶,* 2023/02,161986.0,2023,02,-0.1718930525024283,0.3337,0,0,1,0.0,0,2.0,0,3.0,1
165114,8105,凌巨,* 2023/02,632462.0,2023,02,-0.2215114540085645,-0.1732,0,0,1,0.0,0,2.0,0,3.0,1
165210,8107,大億金茂,* 2023/02,67991.0,2023,02,-0.026962432915921288,0.4242,0,1,0,0.0,0,3.0,1,2.0,0
165307,8109,博大,* 2023/02,110407.0,2023,02,-0.16393802629187618,0.2488,0,1,0,0.0,0,2.0,1,3.0,0
165404,8110,華東,* 2023/02,656095.0,2023,02,-0.09079003894070205,-0.1486,0,1,0,0.0,0,1.0,1,4.0,0
165501,8111,立碁,* 2023/02,57817.0,2023,02,-0.2586233426512451,-0.077,0,1,0,0.0,0,1.0,1,4.0,0
165598,8112,至上,* 2023/02,11687626.0,2023,02,-0.2884210441720318,-0.1877,0,1,0,0.0,0,3.0,1,2.0,0
165695,8114,振樺電,* 2023/02,847906.0,2023,02,0.035919101387161485,0.1511,0,1,0,0.0,0,2.0,2,3.0,0
165791,8115,帝聞,* 2023/02,109042.0,2023,02,-0.47537371239421305,-0.351,0,1,0,0.0,0,3.0,1,2.0,0
165888,8119,公信,* 2023/02,84116.0,2023,02,-0.5062253086238575,-0.2069,0,1,0,0.0,0,2.0,1,3.0,0
165985,8121,越峰,* 2023/02,192508.0,2023,02,-0.21178223983753153,-0.0527,0,1,0,0.0,0,2.0,1,3.0,0
166082,8131,福懋科,* 2023/02,855982.0,2023,02,-0.010843966599103732,0.0414,0,1,0,0.0,0,2.0,1,3.0,0
166179,8147,正淩,* 2023/02,49485.0,2023,02,-0.5,-0.2229,0,1,0,0.0,0,1.0,1,4.0,0
166276,8150,南茂,* 2023/02,1732487.0,2023,02,-0.13869436520428385,-0.1738,0,1,0,0.0,0,3.0,1,2.0,0
166373,8155,博智,* 2023/02,244080.0,2023,02,-0.10709843573947526,-0.1935,0,0,1,0.0,0,0.0,0,5.0,6
166498,8163,達方,* 2023/02,1696861.0,2023,02,-0.27341771284674454,-0.1868,0,1,0,0.0,0,2.0,1,3.0,0
166595,8171,天宇,* 2023/02,67936.0,2023,02,-0.08765427124880813,0.1568,0,0,1,0.0,0,2.0,0,3.0,2
166692,8176,智捷,* 2023/02,15696.0,2023,02,-0.6731293862845957,-0.0744,0,0,1,0.0,0,2.0,0,3.0,1
166788,8182,加高,* 2023/02,178071.0,2023,02,-0.3179316288422867,-0.2042,0,1,0,0.0,0,2.0,1,3.0,0
166885,8183,精星,* 2023/02,360259.0,2023,02,-0.35568857777507523,-0.2492,0,0,1,0.0,0,1.0,0,4.0,1
166981,8201,無敵,* 2023/02,58366.0,2023,02,-0.14020976960697662,0.5792,0,1,0,0.0,0,2.0,2,3.0,0
167078,8210,勤誠,* 2023/02,499307.0,2023,02,-0.3179853737027152,-0.0735,0,1,0,0.0,0,3.0,1,2.0,0
167175,8213,志超,* 2023/02,1369011.0,2023,02,-0.32723393151207997,-0.3329,0,1,0,0.0,0,3.0,1,2.0,0
167272,8215,明基材,* 2023/02,1158118.0,2023,02,-0.15419474471042155,-0.094,0,1,0,0.0,0,4.0,2,1.0,0
167369,8222,寶一,* 2023/02,48084.0,2023,02,0.20487120376866794,0.5143,0,1,0,0.0,0,3.0,2,2.0,0
167465,8234,新漢,* 2023/02,474258.0,2023,02,-0.17719680842758326,0.0741,0,1,0,0.0,0,3.0,2,2.0,0
167562,8240,華宏,* 2023/02,592176.0,2023,02,-0.2944380833006671,-0.2505,0,1,0,0.0,0,3.0,1,2.0,0
167659,8249,菱光,* 2023/02,239626.0,2023,02,-0.30198022686094134,-0.1467,0,1,0,0.0,0,3.0,1,2.0,0
167756,8255,朋程,* 2023/02,319246.0,2023,02,-0.16008892513713677,0.0599,0,0,1,0.0,0,3.0,0,2.0,1
167852,8261,富鼎,* 2023/02,229130.0,2023,02,-0.3272299656171732,-0.3488,0,1,0,0.0,0,2.0,1,3.0,0
167949,8271,宇瞻,* 2023/02,645470.0,2023,02,-0.22198691237996285,0.0213,0,1,0,0.0,0,3.0,1,2.0,0
168046,8277,商丞,* 2023/02,25178.0,2023,02,-0.19930036571792017,-0.0787,0,0,1,0.0,0,2.0,0,3.0,2
168143,8279,生展,* 2023/02,112972.0,2023,02,-0.09422404669510279,0.0787,0,1,0,0.0,0,2.0,1,3.0,0
168239,8284,三竹,* 2023/02,161898.0,2023,02,-0.1452690930976591,0.001,0,1,0,0.0,0,3.0,1,2.0,0
168335,8289,泰藝,* 2023/02,113878.0,2023,02,-0.3970019009494157,-0.2311,0,0,1,0.0,0,2.0,0,3.0,1
168432,8291,尚茂,* 2023/02,9324.0,2023,02,-0.23667621776504297,-0.215,0,1,0,0.0,0,3.0,3,2.0,0
168518,8298,威睿,* 2023/02,4232.0,2023,02,-0.3950829045168668,-0.0121,0,1,0,0.0,0,3.0,1,2.0,0
168615,8299,群聯,* 2023/02,4006295.0,2023,02,-0.1503185010567215,-0.2451,0,1,0,0.0,0,3.0,1,2.0,0
168712,8329,台視,* 2023/02,103308.0,2023,02,-0.03914729763665281,0.3418,0,1,0,0.0,0,4.0,2,1.0,0
168809,8341,日友,* 2023/02,270203.0,2023,02,-0.0645559979227973,-0.1844,0,0,1,0.0,0,1.0,0,4.0,3
168905,8342,益張,* 2023/02,110680.0,2023,02,-0.3450383757330446,-0.0726,0,1,0,0.0,0,1.0,1,4.0,0
