,,,,,,,,,,,,,
,代號,名稱,年月,營業收入淨額q,累計每股盈餘est,"eps
成長","eps
衰退","eps
近五月
成長","eps
連續
成長","eps
近五月
衰退","eps
連續
衰退",TEJ  產業別,TEJ 子產業別
56,6683,雍智科技,2023/01,375.6,15.95,0,1,2,0,3,1,M2324 半導體,M23B2A IC載板
57,3324,雙鴻,2023/01,3425.2,15.95,1,0,3,2,2,0,M2331 其他電子業,M23D9B 散熱零組件
58,4958,臻鼎-KY,2023/01,52902.2,15.91,1,0,4,3,1,0,M2328 電子零組件,M23B2C 軟板
59,5609,中菲行,2023/01,7699.1,15.87,0,1,1,0,4,4,M2600 航運業,M26C 貨運倉儲業
60,3189,景碩,2023/01,9428.8,15.54,0,1,4,0,1,1,M2324 半導體,M23B2A IC載板
61,5483,中美晶,2023/01,21205.1,15.53,0,1,3,0,2,2,M2324 半導體,M23G3C 晶圓材料
62,4438,廣越,2023/01,4448,15.18,0,1,2,0,3,1,M1400 紡織纖維,M14C1 成衣製造
63,2345,智邦,2023/02,22198.1,15.15,1,0,4,3,1,0,M2327 通信網路業,M23E2 網路卡
64,3617,碩天,2023/02,2825.6,15.03,0,1,1,0,4,2,M2331 其他電子業,M23D3 電源供應器
65,2637,慧洋-KY,2023/02,5166.6,14.88,0,1,2,0,3,2,M2600 航運業,M26A1 散裝輪
66,4766,南寶,2023/02,5578,14.79,0,1,2,0,3,1,M1721 化學工業,M17F 樹脂
67,6278,台表科,2023/02,17596.8,14.72,1,0,3,2,2,0,M2326 光電業,M23B2B PCB 組裝
68,3711,日月光投控,2023/02,177489.5,14.69,0,1,3,0,2,1,M2324 半導體,M23G2 IC封測
69,3130,一零四,2023/02,525.2,14.59,0,1,3,0,2,1,M2330 資訊服務業,M23K4 電商及XaaS
70,1477,聚陽,2023/02,7363,14.52,0,1,1,0,4,1,M1400 紡織纖維,M14C1 成衣製造
71,6435,大中,2023/02,475,14.23,0,1,2,0,3,3,M2324 半導體,M23G5 IC設計
72,5288,豐祥-KY,2023/02,2279.4,14.12,1,0,3,3,2,0,M1500 電機機械,M15D 汽車組件
73,6728,上洋,2023/02,531.7,14,0,1,3,0,2,2,M2900 貿易百貨,M15C1 家電
74,2395,研華,2023/02,17186.8,13.97,0,1,4,0,1,1,M2325 電腦及週邊,M23B5B 工業電腦
75,5278,尚凡,2023/02,515.9,13.95,1,0,2,1,3,0,M3400 電子商務,M23K4 電商及XaaS
76,2308,台達電,2023/02,105660.3,13.82,1,0,2,2,3,0,M2328 電子零組件,M23D3 電源供應器
77,4439,冠星-KY,2023/02,1055.4,13.73,1,0,3,1,2,0,M1400 紡織纖維,M14C2 織布
78,8114,振樺電,2023/02,2850.7,13.7,0,1,3,0,2,1,M2325 電腦及週邊,M23B5A POS
79,3563,牧德,2023/02,494.1,13.64,1,0,2,2,3,0,M2326 光電業,M23H2 電機設備
80,2049,上銀,2023/02,5593.8,13.6,0,1,2,0,3,2,M1500 電機機械,M15A2 模具零件
81,2360,致茂,2023/02,6072.8,13.52,0,1,2,0,3,1,M2331 其他電子業,M23H2 電機設備
82,6223,旺矽,2023/02,1898.8,13.5,1,0,4,3,1,0,M2324 半導體,M23B2D 硬板及其他
83,3679,新至陞,2023/02,1014.8,13.45,0,1,3,0,2,1,M2328 電子零組件,M23D9A 沖壓零組件
84,3532,台勝科,2023/02,4400.2,13.35,1,0,5,6,0,0,M2324 半導體,M23G3C 晶圓材料
85,6269,台郡,2023/02,11122.8,13.35,0,1,2,0,3,1,M2328 電子零組件,M23B2C 軟板
86,5287,數字,2023/02,515.7,13.34,1,0,4,4,1,0,M3400 電子商務,M23K4 電商及XaaS
87,2377,微星,2023/02,40790.1,13.28,0,1,1,0,4,2,M2325 電腦及週邊,M23B1 主機板
88,3023,信邦,2023/02,8240.2,13.21,0,1,2,0,3,1,M2328 電子零組件,M23D2 連接器
89,6138,茂達,2023/02,1018.5,13.17,0,1,3,0,2,2,M2324 半導體,M23G5 IC設計
90,2383,台光電,2023/02,8887.6,13.15,0,1,1,0,4,4,M2328 電子零組件,M23B3A 銅箔基板
91,1475,業旺,2023/03,336.8,13.05,1,0,4,3,1,0,M1400 紡織纖維,M14C2 織布
92,6706,惠特,2023/03,382.9,12.8,0,1,2,0,3,3,M2326 光電業,M23H2 電機設備
93,3515,華擎,2023/03,4951.5,12.79,1,0,2,1,3,0,M2325 電腦及週邊,M23B1 主機板
94,4557,永新-KY,2023/03,686.7,12.75,0,1,4,0,1,1,M2200 汽車工業,M15D 汽車組件
95,4551,智伸科,2023/03,2229.9,12.67,1,0,4,3,1,0,M2200 汽車工業,M15D 汽車組件
