,歆凱分組,代號,名稱,交易所主產業代碼,交易所子產業代碼,TEJ主產業代碼,TEJ子產業代碼,new_industry_name,minor_industry_name
815,,3167.0,大量,M1500,,23H,,M1500 電機機械,M23H2 電機設備
816,,3169.0,亞信,M2324,,23G,,M2324 半導體,M23G5 IC設計
817,,3171.0,新洲,M2900,,13A,,M2900 貿易百貨,M13A9 膠帶
818,,3176.0,基亞,M1722,,17C,,M1722 生技醫療,M17C1 西藥
819,,3178.0,公準,M1500,,23H,,M1500 電機機械,M23H2 電機設備
820,,3188.0,鑫龍騰,M2324,,25A,,M2324 半導體,M25A 建設
821,,3189.0,景碩,M2324,,23B,,M2324 半導體,M23B2A IC載板
822,,3191.0,和進,M2328,,23D,,M2328 電子零組件,M23D9D 其他零組件
823,,3202.0,樺晟,M2328,,23D,,M2328 電子零組件,M23D2 連接器
824,,3205.0,佰研,M1722,,17C,,M1722 生技醫療,M17C2 機能性食品
825,,3206.0,志豐,M2328,,23U,,M2328 電子零組件,M23U2 聲學產品
826,,3207.0,耀勝,M2328,,23D,,M2328 電子零組件,M23D3 電源供應器
827,,3209.0,全科,M2329,,23T,,M2329 電子通路業,M23T2 零組件代理
828,,3211.0,順達,M2325,,23D,,M2325 電腦及週邊,M23D7 二次電池
829,,3213.0,茂訊,M2325,,23A,,M2325 電腦及週邊,M23A2 泛用電腦
830,,3217.0,優群,M2328,,23D,,M2328 電子零組件,M23D2 連接器
831,,3218.0,大學光,M1722,,17G,,M1722 生技醫療,M17G 醫療耗材
832,,3219.0,倚強科技,M2331,,23Z,,M2331 其他電子業,M23Z 其他電子
833,,3221.0,台嘉碩,M2327,,23D,,M2327 通信網路業,M23D6 石英元件
834,,3224.0,三顧,M2329,,23T,,M2329 電子通路業,M23T2 零組件代理
835,,3226.0,至寶電,M1500,,15D,,M1500 電機機械,M15D 汽車組件
836,,3227.0,原相,M2324,,23G,,M2324 半導體,M23G5 IC設計
837,,3228.0,金麗科,M2324,,23G,,M2324 半導體,M23G5 IC設計
838,,3229.0,晟鈦,M2328,,23B,,M2328 電子零組件,M23B2D 硬板及其他
839,,3230.0,錦明,M2326,,23D,,M2326 光電業,M23D4 機殼
840,,3231.0,緯創,M2325,,23A,,M2325 電腦及週邊,M23A1 EMS
841,,3232.0,昱捷,M2329,,23T,,M2329 電子通路業,M23T2 零組件代理
842,,3234.0,光環,M2327,,23K,,M2327 通信網路業,M23K6 光元件模組
843,,3236.0,千如,M2328,,23D,,M2328 電子零組件,M23D5 被動元件
844,,3252.0,海灣,M2700,,27A,,M2700 觀光事業,M27A1 飯店業
845,,3257.0,虹冠電,M2324,,23G,,M2324 半導體,M23G5 IC設計
846,,3259.0,鑫創,M2324,,23G,,M2324 半導體,M23G5 IC設計
847,,3260.0,威剛,M2324,,23G,,M2324 半導體,M23G3B 記憶體模組
848,,3264.0,欣銓,M2324,,23G,,M2324 半導體,M23G2 IC封測
849,,3265.0,台星科,M2324,,23G,,M2324 半導體,M23G2 IC封測
850,,3266.0,昇陽,M2500,,25A,,M2500 建材營造,M25A 建設
851,,3268.0,海德威,M2324,,23G,,M2324 半導體,M23G5 IC設計
852,,3272.0,東碩,M2325,,23C,,M2325 電腦及週邊,M23C3 PC週邊
853,,3276.0,宇環,M2328,,23B,,M2328 電子零組件,M23B2C 軟板
854,,3284.0,太普高,M9900,,99C,,M9900 其他,M99C 印刷
855,,3285.0,微端,M2331,,23U,,M2331 其他電子業,M23U2 聲學產品
856,,3287.0,廣寰科,M2325,,23B,,M2325 電腦及週邊,M23B4B 電視卡
857,,3288.0,點晶,M2328,,23G,,M2328 電子零組件,M23G5 IC設計
858,,3289.0,宜特,M2331,,23Z,,M2331 其他電子業,M23Z 其他電子
859,,3290.0,東浦,M2328,,23D,,M2328 電子零組件,M23D9D 其他零組件
860,,3293.0,鈊象,M3200,,23X,,M3200 文化創意業,M23X2 遊戲軟體
861,,3294.0,英濟,M2328,,23D,,M2328 電子零組件,M23D4 機殼
862,,3296.0,勝德,M2328,,23D,,M2328 電子零組件,M23D3 電源供應器
863,,3297.0,杭特,M2326,,23C,,M2326 光電業,M23C9 安全監控
864,,3303.0,岱稜,M2331,,13A,,M2331 其他電子業,M13A8 塑膠加工
865,,3305.0,昇貿,M2331,,23B,,M2331 其他電子業,M23B3X PCB材-其他
866,,3306.0,鼎天,M2327,,23K,,M2327 通信網路業,M23K5 導航定位
867,,3308.0,聯德,M2328,,23D,,M2328 電子零組件,M23D3 電源供應器
868,,3310.0,佳穎,M2328,,23D,,M2328 電子零組件,M23D9A 沖壓零組件
869,,3311.0,閎暉,M2327,,23D,,M2327 通信網路業,M23D9A 沖壓零組件
870,,3312.0,弘憶股,M2329,,23T,,M2329 電子通路業,M23T2 零組件代理
871,,3313.0,斐成,M9900,,12B,,M9900 其他,M12B 油脂飼料
872,,3317.0,尼克森,M2324,,23G,,M2324 半導體,M23G5 IC設計
873,,3321.0,同泰,M2328,,23B,,M2328 電子零組件,M23B2C 軟板
874,,3322.0,建舜電,M2328,,23D,,M2328 電子零組件,M23D2 連接器
875,,3323.0,加百裕,M2325,,23D,,M2325 電腦及週邊,M23D7 二次電池
876,,3324.0,雙鴻,M2331,,23D,,M2331 其他電子業,M23D9B 散熱零組件
877,,3325.0,旭品,M2325,,23D,,M2325 電腦及週邊,M23D4 機殼
878,,3332.0,幸康,M2328,,23D,,M2328 電子零組件,M23D3 電源供應器
879,,3338.0,泰碩,M2328,,23D,,M2328 電子零組件,M23D9B 散熱零組件
880,,3339.0,泰谷,M2326,,23C,,M2326 光電業,M23C6B 磊晶及晶粒
881,,3346.0,麗清,M2200,,23C,,M2200 汽車工業,M23C6C 封裝及應用
882,,3354.0,律勝,M2328,,23B,,M2328 電子零組件,M23B3C FCCL
883,,3356.0,奇偶,M2326,,23C,,M2326 光電業,M23C9 安全監控
884,,3357.0,臺慶科,M2328,,23D,,M2328 電子零組件,M23D5 被動元件
885,,3360.0,尚立,M2329,,23T,,M2329 電子通路業,M23T2 零組件代理
886,,3362.0,先進光,M2326,,23U,,M2326 光電業,M23U1 光學鏡頭
887,,3363.0,上詮,M2327,,23K,,M2327 通信網路業,M23K6 光元件模組
888,,3372.0,典範,M2324,,23G,,M2324 半導體,M23G2 IC封測
889,,3373.0,熱映,M2331,,17G,,M2331 其他電子業,M17G 醫療耗材
890,,3374.0,精材,M2324,,23G,,M2324 半導體,M23G2 IC封測
891,,3376.0,新日興,M2328,,23D,,M2328 電子零組件,M23D9A 沖壓零組件
892,,3379.0,彬台,M1500,,15Z,,M1500 電機機械,M15Z 其他電製品
893,,3380.0,明泰,M2327,,23E,,M2327 通信網路業,M23E2 網路卡
894,,3383.0,新世紀,M2326,,23C,,M2326 光電業,M23C6B 磊晶及晶粒
895,,3388.0,崇越電,M2328,,23T,,M2328 電子零組件,M23T2 零組件代理
896,,3390.0,旭軟,M2328,,23B,,M2328 電子零組件,M23B2C 軟板
897,,3402.0,漢科,M2331,,23H,,M2331 其他電子業,M23H1 廠辦機電
898,,3406.0,玉晶光,M2326,,23U,,M2326 光電業,M23U1 光學鏡頭
899,,3413.0,京鼎,M2324,,23H,,M2324 半導體,M23H2 電機設備
900,,3416.0,融程電,M2325,,23B,,M2325 電腦及週邊,M23B5B 工業電腦
901,,3419.0,譁裕,M2327,,23K,,M2327 通信網路業,M23K2 衛星微波
902,,3426.0,台興,M1500,,15Z,,M1500 電機機械,M15Z 其他電製品
903,,3432.0,台端,M2328,,23D,,M2328 電子零組件,M23D2 連接器
904,,3434.0,哲固,M2326,,23C,,M2326 光電業,M23C1 顯示器
905,,3437.0,榮創,M2326,,23C,,M2326 光電業,M23C6C 封裝及應用
906,,3438.0,類比科,M2324,,23G,,M2324 半導體,M23G5 IC設計
907,,3441.0,聯一光電,M2326,,23U,,M2326 光電業,M23U1 光學鏡頭
908,,3443.0,創意,M2324,,23G,,M2324 半導體,M23G5 IC設計
909,,3444.0,利機,M2329,,23T,,M2329 電子通路業,M23T2 零組件代理
910,,3450.0,聯鈞,M2324,,23K,,M2324 半導體,M23K6 光元件模組
911,,3454.0,晶睿,M2326,,23C,,M2326 光電業,M23C9 安全監控
912,,3455.0,由田,M2326,,23H,,M2326 光電業,M23H2 電機設備
913,,3465.0,進泰電子,M2328,,23U,,M2328 電子零組件,M23U2 聲學產品
914,,3466.0,致振,M2327,,23K,,M2327 通信網路業,M23K2 衛星微波
915,,3479.0,安勤,M2325,,23B,,M2325 電腦及週邊,M23B5B 工業電腦
916,,3481.0,群創,M2326,,23C,,M2326 光電業,M23C8A LCD 面板
917,,3483.0,力致,M2325,,23D,,M2325 電腦及週邊,M23D9B 散熱零組件
918,,3484.0,崧騰,M2328,,23D,,M2328 電子零組件,M23D2 連接器
919,,3489.0,森寶,M2500,,25A,,M2500 建材營造,M25A 建設
920,,3490.0,單井,M2326,,23H,,M2326 光電業,M23H2 電機設備
921,,3491.0,昇達科,M2327,,23K,,M2327 通信網路業,M23K2 衛星微波
922,,3492.0,長盛,M2328,,23D,,M2328 電子零組件,M23D2 連接器
923,,3494.0,誠研,M2325,,23T,,M2325 電腦及週邊,M23T1 3C通路
924,,3498.0,陽程,M2331,,23H,,M2331 其他電子業,M23H2 電機設備
925,,3499.0,環天科,M2327,,23K,,M2327 通信網路業,M23K5 導航定位
926,,3501.0,維熹,M2328,,23D,,M2328 電子零組件,M23D2 連接器
927,,3504.0,揚明光,M2326,,23C,,M2326 光電業,M23CZ1 投影裝置
928,,3508.0,位速,M2331,,23D,,M2331 其他電子業,M23D4 機殼
929,,3511.0,矽瑪,M2328,,23D,,M2328 電子零組件,M23D2 連接器
930,,3512.0,皇龍,M2328,,25A,,M2328 電子零組件,M25A 建設
931,,3515.0,華擎,M2325,,23B,,M2325 電腦及週邊,M23B1 主機板
932,,3516.0,亞帝歐,M2326,,15C,,M2326 光電業,M15C4 照明
933,,3518.0,柏騰,M2331,,23H,,M2331 其他電子業,M23H2 電機設備
934,,3520.0,華盈電子,M2328,,23D,,M2328 電子零組件,M23D2 連接器
935,,3521.0,鴻翊,M2325,,23B,,M2325 電腦及週邊,M23B5A POS
936,,3522.0,御頂,M2700,,27A,,M2700 觀光事業,M27A2 餐飲業
937,,3523.0,迎輝,M2326,,23C,,M2326 光電業,M23C8C LCD 原料
938,,3526.0,凡甲,M2328,,23D,,M2328 電子零組件,M23D2 連接器
939,,3527.0,聚積,M2324,,23G,,M2324 半導體,M23G5 IC設計
940,,3528.0,安馳,M2329,,23T,,M2329 電子通路業,M23T2 零組件代理
941,,3529.0,力旺,M2324,,23G,,M2324 半導體,M23G5 IC設計
942,,3530.0,晶相光,M2324,,23G,,M2324 半導體,M23G5 IC設計
943,,3531.0,先益,M2326,,23C,,M2326 光電業,M23C8B 背光模組
944,,3532.0,台勝科,M2324,,23G,,M2324 半導體,M23G3C 晶圓材料
945,,3533.0,嘉澤,M2328,,23D,,M2328 電子零組件,M23D2 連接器
946,,3535.0,晶彩科,M2326,,23H,,M2326 光電業,M23H2 電機設備
947,,3536.0,誠創,M2324,,23D,,M2324 半導體,M23D1 整流二極體
948,,3537.0,堡達,M2328,,23T,,M2328 電子零組件,M23T2 零組件代理
949,,3540.0,曜越,M2325,,23D,,M2325 電腦及週邊,M23D4 機殼
950,,3541.0,西柏,M2331,,23C,,M2331 其他電子業,M23C3 PC週邊
951,,3543.0,州巧,M2326,,23D,,M2326 光電業,M23D9A 沖壓零組件
952,,3545.0,敦泰,M2324,,23G,,M2324 半導體,M23G5 IC設計
953,,3548.0,兆利,M2328,,23D,,M2328 電子零組件,M23D9A 沖壓零組件
954,,3550.0,聯穎,M2328,,23D,,M2328 電子零組件,M23D2 連接器
955,,3551.0,世禾,M2331,,23H,,M2331 其他電子業,M23H2 電機設備
956,,3552.0,同致,M2331,,15D,,M2331 其他電子業,M15D 汽車組件
957,,3555.0,重鵬,M2324,,17C,,M2324 半導體,M17C2 機能性食品
958,,3556.0,禾瑞亞,M2324,,23G,,M2324 半導體,M23G5 IC設計
959,,3557.0,嘉威,M9900,,99B,,M9900 其他,M99B 五金及家具
960,,3558.0,神準,M2327,,23E,,M2327 通信網路業,M23E1 數據機
961,,3563.0,牧德,M2326,,23H,,M2326 光電業,M23H2 電機設備
962,,3564.0,其陽,M2327,,23B,,M2327 通信網路業,M23B5B 工業電腦
963,,3567.0,逸昌,M2324,,23G,,M2324 半導體,M23G2 IC封測
964,,3570.0,大塚,M2330,,23X,,M2330 資訊服務業,M23X9 應用軟體
965,,3576.0,聯合再生,M2326,,23C,,M2326 光電業,M23C7C 太陽能電池
966,,3577.0,泓格,M2325,,23B,,M2325 電腦及週邊,M23B5B 工業電腦
967,,3580.0,友威科,M2331,,23H,,M2331 其他電子業,M23H2 電機設備
968,,3581.0,博磊,M2324,,23H,,M2324 半導體,M23H2 電機設備
969,,3583.0,辛耘,M2324,,23H,,M2324 半導體,M23H2 電機設備
970,,3587.0,閎康,M2331,,23Z,,M2331 其他電子業,M23Z 其他電子
971,,3588.0,通嘉,M2324,,23G,,M2324 半導體,M23G5 IC設計
972,,3591.0,艾笛森,M2326,,23C,,M2326 光電業,M23C6C 封裝及應用
973,,3593.0,力銘,M2328,,23D,,M2328 電子零組件,M23D4 機殼
974,,3594.0,磐儀,M2325,,23B,,M2325 電腦及週邊,M23B5B 工業電腦
975,,3596.0,智易,M2327,,23E,,M2327 通信網路業,M23E1 數據機
976,,3597.0,映興,M2328,,23D,,M2328 電子零組件,M23D2 連接器
977,,3605.0,宏致,M2328,,23D,,M2328 電子零組件,M23D2 連接器
978,,3607.0,谷崧,M2328,,23D,,M2328 電子零組件,M23D4 機殼
979,,3609.0,東林,M2328,,15C,,M2328 電子零組件,M15C4 照明
980,,3611.0,鼎翰,M2325,,23B,,M2325 電腦及週邊,M23B5A POS
981,,3615.0,安可,M2326,,23C,,M2326 光電業,M23C8E 觸控面板
982,,3617.0,碩天,M2331,,23D,,M2331 其他電子業,M23D3 電源供應器
983,,3622.0,洋華,M2326,,23C,,M2326 光電業,M23C8E 觸控面板
984,,3623.0,富晶通,M2326,,23C,,M2326 光電業,M23C8E 觸控面板
985,,3624.0,光頡,M2328,,23D,,M2328 電子零組件,M23D5 被動元件
986,,3625.0,西勝,M2325,,23D,,M2325 電腦及週邊,M23D7 二次電池
987,,3628.0,盈正,M2331,,23D,,M2331 其他電子業,M23D3 電源供應器
988,,3629.0,地心引力,M3200,,23X,,M3200 文化創意業,M23X2 遊戲軟體
989,,3630.0,新鉅科,M2326,,23U,,M2326 光電業,M23U1 光學鏡頭
990,,3631.0,晟楠,M2328,,23B,,M2328 電子零組件,M23B3X PCB材-其他
991,,3632.0,研勤,M2327,,23K,,M2327 通信網路業,M23K5 導航定位
992,,3642.0,駿熠電,M2331,,23C,,M2331 其他電子業,M23C3 PC週邊
993,,3645.0,達邁,M2328,,23B,,M2328 電子零組件,M23B2C 軟板
994,,3646.0,艾恩特,M2328,,23D,,M2328 電子零組件,M23D2 連接器
995,,3652.0,精聯,M2325,,23B,,M2325 電腦及週邊,M23B5A POS
996,,3653.0,健策,M2328,,23D,,M2328 電子零組件,M23D9B 散熱零組件
997,,3661.0,世芯-KY,M2324,,23G,,M2324 半導體,M23G5 IC設計
998,,3663.0,鑫科,M2331,,99L,,M2331 其他電子業,M99L1 貴金屬回收
999,,3664.0,安瑞-KY,M2327,,23E,,M2327 通信網路業,M23E1 數據機
1000,,3665.0,貿聯-KY,M2331,,23D,,M2331 其他電子業,M23D2 連接器
1001,,3666.0,光耀,M2326,,23C,,M2326 光電業,M23C8C LCD 原料
1002,,3669.0,圓展,M2327,,23C,,M2327 通信網路業,M23CZ2 其他顯示
1003,,3672.0,康聯訊,M2327,,23K,,M2327 通信網路業,M23K6 光元件模組
1004,,3673.0,TPK-KY,M2326,,23C,,M2326 光電業,M23C8E 觸控面板
1005,,3675.0,德微,M2324,,23D,,M2324 半導體,M23D1 整流二極體
1006,,3679.0,新至陞,M2328,,23D,,M2328 電子零組件,M23D9A 沖壓零組件
1007,,3680.0,家登,M2324,,23H,,M2324 半導體,M23H2 電機設備
1008,,3682.0,亞太電,M2327,,23K,,M2327 通信網路業,M23K3 電信及IDC
1009,,3684.0,榮昌,M2327,,23K,,M2327 通信網路業,M23K2 衛星微波
1010,,3685.0,元創精密,M1500,,15D,,M1500 電機機械,M15D 汽車組件
1011,,3686.0,達能,M2324,,23C,,M2324 半導體,M23C7B 太陽能晶圓
1012,,3687.0,歐買尬,M3400,,23X,,M3400 電子商務,M23X2 遊戲軟體
1013,,3689.0,湧德,M2328,,23D,,M2328 電子零組件,M23D2 連接器
1014,,3691.0,碩禾,M2326,,23C,,M2326 光電業,M23C7F 其他太陽能
1015,,3693.0,營邦,M2325,,23D,,M2325 電腦及週邊,M23D4 機殼
1016,,3694.0,海華,M2327,,23K,,M2327 通信網路業,M23K2 衛星微波
1017,,3701.0,大眾控,M2325,,23A,,M2325 電腦及週邊,M23A1 EMS
1018,,3702.0,大聯大,M2329,,23T,,M2329 電子通路業,M23T2 零組件代理
1019,,3703.0,欣陸,M2500,,25B,,M2500 建材營造,M25B 營造
1020,,3704.0,合勤控,M2327,,23E,,M2327 通信網路業,M23E1 數據機
1021,,3705.0,永信,M1722,,17C,,M1722 生技醫療,M17C1 西藥
1022,,3706.0,神達,M2325,,23A,,M2325 電腦及週邊,M23A1 EMS
1023,,3707.0,漢磊,M2324,,23G,,M2324 半導體,M23G1A 晶圓代工
1024,,3708.0,上緯投控,M1721,,17F,,M1721 化學工業,M17F 樹脂
1025,,3709.0,鑫聯大投控,M2325,,23T,,M2325 電腦及週邊,M23T1 3C通路
1026,,3710.0,連展投控,M2328,,23D,,M2328 電子零組件,M23D2 連接器
1027,,3711.0,日月光投控,M2324,,23G,,M2324 半導體,M23G2 IC封測
1028,,3712.0,永崴投控,M2325,,23C,,M2325 電腦及週邊,M23C2 影像掃描
1029,,3713.0,新晶投控,M2326,,23C,,M2326 光電業,M23C7E 太陽能系統
1030,,3714.0,富采,M2326,,23C,,M2326 光電業,M23C6B 磊晶及晶粒
1031,,4102.0,永日,M1722,,17C,,M1722 生技醫療,M17C1 西藥
1032,,4104.0,佳醫,M1722,,17G,,M1722 生技醫療,M17G 醫療耗材
1033,,4105.0,東洋,M1722,,17C,,M1722 生技醫療,M17C1 西藥
1034,,4106.0,雃博,M1722,,17G,,M1722 生技醫療,M17G 醫療耗材
1035,,4107.0,邦特,M1722,,17G,,M1722 生技醫療,M17G 醫療耗材
1036,,4108.0,懷特,M1722,,17C,,M1722 生技醫療,M17C1 西藥
1037,,4109.0,加捷生醫,M1722,,17C,,M1722 生技醫療,M17C2 機能性食品
1038,,4111.0,濟生,M1722,,17C,,M1722 生技醫療,M17C1 西藥
1039,,4113.0,聯上,M2500,,25A,,M2500 建材營造,M25A 建設
1040,,4114.0,健喬,M1722,,17C,,M1722 生技醫療,M17C1 西藥
1041,,4116.0,明基醫,M1722,,17G,,M1722 生技醫療,M17G 醫療耗材
1042,,4119.0,旭富,M1722,,17C,,M1722 生技醫療,M17C1 西藥
1043,,4120.0,友華,M1722,,17C,,M1722 生技醫療,M17C1 西藥
1044,,4121.0,優盛,M1722,,17X,,M1722 生技醫療,M17X 藥局
1045,,4123.0,晟德,M1722,,17C,,M1722 生技醫療,M17C1 西藥
1046,,4126.0,太醫,M1722,,17G,,M1722 生技醫療,M17G 醫療耗材
1047,,4127.0,天良,M1722,,17C,,M1722 生技醫療,M17C2 機能性食品
1048,,4128.0,中天,M1722,,17C,,M1722 生技醫療,M17C1 西藥
1049,,4129.0,聯合,M1722,,17G,,M1722 生技醫療,M17G 醫療耗材
1050,,4130.0,健亞,M1722,,17C,,M1722 生技醫療,M17C1 西藥
1051,,4131.0,晶宇,M1722,,17G,,M1722 生技醫療,M17G 醫療耗材
1052,,4133.0,亞諾法,M1722,,17G,,M1722 生技醫療,M17G 醫療耗材
1053,,4137.0,麗豐-KY,M1722,,17Z,,M1722 生技醫療,M17Z 其他化學
1054,,4138.0,曜亞,M1722,,17G,,M1722 生技醫療,M17G 醫療耗材
1055,,4139.0,馬光-KY,M1722,,17H,,M1722 生技醫療,M17H 生物科技
1056,,4141.0,龍燈-KY,M1722,,17C,,M1722 生技醫療,M17C3 農藥肥料
1057,,4142.0,國光生,M1722,,17C,,M1722 生技醫療,M17C1 西藥
1058,,4147.0,中裕,M1722,,17C,,M1722 生技醫療,M17C1 西藥
1059,,4148.0,全宇生技-KY,M1722,,17C,,M1722 生技醫療,M17C3 農藥肥料
1060,,4152.0,台微體,M1722,,17C,,M1722 生技醫療,M17C1 西藥
1061,,4153.0,鈺緯,M1722,,23C,,M1722 生技醫療,M23C1 顯示器
1062,,4154.0,康樂-KY,M1722,,17C,,M1722 生技醫療,M17C2 機能性食品
1063,,4155.0,訊映,M1722,,17G,,M1722 生技醫療,M17G 醫療耗材
1064,,4157.0,太景*-KY,M1722,,17C,,M1722 生技醫療,M17C1 西藥
1065,,4160.0,創源,M1722,,17G,,M1722 生技醫療,M17G 醫療耗材
1066,,4161.0,聿新科,M1722,,17G,,M1722 生技醫療,M17G 醫療耗材
1067,,4162.0,智擎,M1722,,17C,,M1722 生技醫療,M17C1 西藥
1068,,4163.0,鐿鈦,M1722,,17G,,M1722 生技醫療,M17G 醫療耗材
1069,,4164.0,承業醫,M1722,,17G,,M1722 生技醫療,M17G 醫療耗材
1070,,4167.0,松瑞藥,M1722,,17C,,M1722 生技醫療,M17C1 西藥
1071,,4168.0,醣聯,M1722,,17C,,M1722 生技醫療,M17C1 西藥
1072,,4173.0,久裕,M1722,,17C,,M1722 生技醫療,M17C1 西藥
1073,,4174.0,浩鼎,M1722,,17C,,M1722 生技醫療,M17C1 西藥
1074,,4175.0,杏一,M1722,,17X,,M1722 生技醫療,M17X 藥局
1075,,4183.0,福永生技,M1722,,17G,,M1722 生技醫療,M17G 醫療耗材
1076,,4188.0,安克,M1722,,17G,,M1722 生技醫療,M17G 醫療耗材
1077,,4190.0,佐登-KY,M1722,,17Z,,M1722 生技醫療,M17Z 其他化學
1078,,4192.0,杏國,M1722,,17C,,M1722 生技醫療,M17C1 西藥
1079,,4198.0,欣大健康,M1722,,17G,,M1722 生技醫療,M17G 醫療耗材
1080,,4205.0,中華食,M1200,,12Z,,M1200 食品工業,M12Z 其他食品
1081,,4207.0,環泰,M1200,,12Z,,M1200 食品工業,M12Z 其他食品
1082,,4303.0,信立,M1300,,13A,,M1300 塑膠工業,M13A6 合成皮
1083,,4304.0,勝昱,M1300,,13A,,M1300 塑膠工業,M13A8 塑膠加工
1084,,4305.0,世坤,M1300,,13A,,M1300 塑膠工業,M13A8 塑膠加工
1085,,4401.0,東隆興,M1400,,14A,,M1400 紡織纖維,M14A7 尼龍絲
1086,,4402.0,福大,M1400,,14A,,M1400 紡織纖維,M14A7 尼龍絲
1087,,4406.0,新昕纖,M1400,,14A,,M1400 紡織纖維,M14A2 加工絲
1088,,4413.0,飛寶企業,M1400,,14C,,M1400 紡織纖維,M14C2 織布
1089,,4414.0,如興,M1400,,14C,,M1400 紡織纖維,M14C1 成衣製造
1090,,4416.0,三圓,M2500,,25A,,M2500 建材營造,M25A 建設
1091,,4417.0,金洲,M1400,,14Z,,M1400 紡織纖維,M14Z 其他紡織
1092,,4419.0,元勝,M1400,,27A,,M1400 紡織纖維,M27A2 餐飲業
1093,,4420.0,光明,M1400,,14C,,M1400 紡織纖維,M14C2 織布
1094,,4426.0,利勤,M1400,,14C,,M1400 紡織纖維,M14C2 織布
1095,,4429.0,聚紡,M1400,,14C,,M1400 紡織纖維,M14C2 織布
1096,,4430.0,耀億,M9900,,14Z,,M9900 其他,M14Z 其他紡織
1097,,4432.0,銘旺實,M1400,,14C,,M1400 紡織纖維,M14C1 成衣製造
1098,,4433.0,興采,M1400,,14C,,M1400 紡織纖維,M14C2 織布
1099,,4438.0,廣越,M1400,,14C,,M1400 紡織纖維,M14C1 成衣製造
1100,,4439.0,冠星-KY,M1400,,14C,,M1400 紡織纖維,M14C2 織布
1101,,4502.0,健信,M1500,,15D,,M1500 電機機械,M15D 汽車組件
1102,,4503.0,金雨,M1500,,15Z,,M1500 電機機械,M15Z 其他電製品
1103,,4506.0,崇友,M1500,,15B,,M1500 電機機械,M15B1 電機
1104,,4510.0,高鋒,M1500,,15A,,M1500 電機機械,M15A1 工具機
1105,,4513.0,福裕,M1500,,15A,,M1500 電機機械,M15A1 工具機
1106,,4523.0,永彰,M1500,,15D,,M1500 電機機械,M15D 汽車組件
1107,,4526.0,東台,M1500,,15A,,M1500 電機機械,M15A1 工具機
1108,,4527.0,方土霖,M1500,,15C,,M1500 電機機械,M15C2 空調冷凍
1109,,4528.0,江興鍛,M1500,,15D,,M1500 電機機械,M15D 汽車組件
1110,,4529.0,淳紳,M9900,,22A,,M9900 其他,M22A 汽車製造
1111,,4530.0,宏易,M1500,,23K,,M1500 電機機械,M23KX 其他網通
1112,,4532.0,瑞智,M1500,,15C,,M1500 電機機械,M15C1 家電
1113,,4533.0,協易機,M1500,,15A,,M1500 電機機械,M15A1 工具機
1114,,4534.0,慶騰,M1500,,15A,,M1500 電機機械,M15A1 工具機
1115,,4535.0,至興,M1500,,15D,,M1500 電機機械,M15D 汽車組件
1116,,4536.0,拓凱,M9900,,99Z,,M9900 其他,M99ZC 其他製造業
1117,,4538.0,大詠城,M1500,,15A,,M1500 電機機械,M15A2 模具零件
1118,,4540.0,全球傳動,M1500,,15A,,M1500 電機機械,M15A2 模具零件
1119,,4541.0,晟田,M9900,,22B,,M9900 其他,M22B3 航空器製造
1120,,4542.0,科嶠,M2328,,23H,,M2328 電子零組件,M23H2 電機設備
1121,,4543.0,萬在,M1500,,15D,,M1500 電機機械,M15D 汽車組件
1122,,4545.0,銘鈺,M2328,,23D,,M2328 電子零組件,M23D9A 沖壓零組件
1123,,4549.0,桓達,M1500,,15H,,M1500 電機機械,M15H 儀器設備
1124,,4550.0,長佳,M1500,,15B,,M1500 電機機械,M15B2 機電工程
1125,,4551.0,智伸科,M2200,,15D,,M2200 汽車工業,M15D 汽車組件
1126,,4552.0,力達-KY,M1500,,15C,,M1500 電機機械,M15C1 家電
1127,,4554.0,橙的,M2331,,15D,,M2331 其他電子業,M15D 汽車組件
1128,,4555.0,氣立,M1500,,15A,,M1500 電機機械,M15A2 模具零件
1129,,4556.0,旭然,M9900,,15Z,,M9900 其他,M15Z 其他電製品
1130,,4557.0,永新-KY,M2200,,15D,,M2200 汽車工業,M15D 汽車組件
1131,,4560.0,強信-KY,M1500,,15A,,M1500 電機機械,M15A3 紡織工具機
1132,,4561.0,健椿,M1500,,15A,,M1500 電機機械,M15A2 模具零件
1133,,4562.0,穎漢,M1500,,15A,,M1500 電機機械,M15A1 工具機
1134,,4563.0,百德,M1500,,15A,,M1500 電機機械,M15A1 工具機
1135,,4564.0,元翎,M1500,,20B,,M1500 電機機械,M20B 金屬製品
1136,,4566.0,時碩工業,M1500,,15D,,M1500 電機機械,M15D 汽車組件
1137,,4568.0,科際精密,M1500,,15Z,,M1500 電機機械,M15Z 其他電製品
1138,,4571.0,鈞興-KY,M1500,,15D,,M1500 電機機械,M15D 汽車組件
1139,,4572.0,駐龍,M1500,,22B,,M1500 電機機械,M22B3 航空器製造
1140,,4576.0,大銀微系統,M1500,,15A,,M1500 電機機械,M15A2 模具零件
1141,,4580.0,捷流閥業,M1500,,15Z,,M1500 電機機械,M15Z 其他電製品
1142,,4581.0,光隆精密-KY,M2200,,15D,,M2200 汽車工業,M15D 汽車組件
1143,,4609.0,唐鋒,M1600,,15C,,M1600 電器電纜,M15C1 家電
1144,,4702.0,中美實,M1721,,17B,,M1721 化學工業,M17B 染料及顏料
