,歆凱分組,代號,名稱,交易所主產業代碼,交易所子產業代碼,TEJ主產業代碼,TEJ子產業代碼,new_industry_name,minor_industry_name
559,,2425.0,承啟,M2325,,23B,,M2325 電腦及週邊,M23B4A 繪圖卡
560,,2426.0,鼎元,M2326,,23C,,M2326 光電業,M23C6B 磊晶及晶粒
561,,2427.0,三商電,M2330,,23X,,M2330 資訊服務業,M23X1 系統整合
562,,2428.0,興勤,M2328,,23D,,M2328 電子零組件,M23D5 被動元件
563,,2429.0,銘旺科,M2326,,23C,,M2326 光電業,M23CZ2 其他顯示
564,,2430.0,燦坤,M2329,,23T,,M2329 電子通路業,M23T1 3C通路
565,,2431.0,聯昌,M2328,,23D,,M2328 電子零組件,M23D3 電源供應器
566,,2433.0,互盛電,M2331,,23T,,M2331 其他電子業,M23T1 3C通路
567,,2434.0,統懋,M2324,,23D,,M2324 半導體,M23D1 整流二極體
568,,2436.0,偉詮電,M2324,,23G,,M2324 半導體,M23G5 IC設計
569,,2438.0,翔耀,M2326,,23C,,M2326 光電業,M23C8C LCD 原料
570,,2439.0,美律,M2327,,23U,,M2327 通信網路業,M23U2 聲學產品
571,,2440.0,太空梭,M2328,,23D,,M2328 電子零組件,M23D2 連接器
572,,2441.0,超豐,M2324,,23G,,M2324 半導體,M23G2 IC封測
573,,2442.0,新美齊,M2325,,25A,,M2325 電腦及週邊,M25A 建設
574,,2443.0,億麗,M9900,,99Z,,M9900 其他,M99ZC 其他製造業
575,,2444.0,兆勁,M2327,,23E,,M2327 通信網路業,M23E1 數據機
576,,2449.0,京元電子,M2324,,23G,,M2324 半導體,M23G2 IC封測
577,,2450.0,神腦,M2327,,23T,,M2327 通信網路業,M23T1 3C通路
578,,2451.0,創見,M2324,,23G,,M2324 半導體,M23G3B 記憶體模組
579,,2453.0,凌群,M2330,,23X,,M2330 資訊服務業,M23X1 系統整合
580,,2454.0,聯發科,M2324,,23G,,M2324 半導體,M23G5 IC設計
581,,2455.0,全新,M2327,,23G,,M2327 通信網路業,M23G3A 化合物SEMI
582,,2456.0,奇力新,M2328,,23D,,M2328 電子零組件,M23D5 被動元件
583,,2457.0,飛宏,M2328,,23D,,M2328 電子零組件,M23D3 電源供應器
584,,2458.0,義隆,M2324,,23G,,M2324 半導體,M23G5 IC設計
585,,2459.0,敦吉,M2331,,23T,,M2331 其他電子業,M23T2 零組件代理
586,,2460.0,建通,M2328,,23D,,M2328 電子零組件,M23D2 連接器
587,,2461.0,光群雷,M2331,,13A,,M2331 其他電子業,M13A8 塑膠加工
588,,2462.0,良得電,M2328,,23D,,M2328 電子零組件,M23D2 連接器
589,,2464.0,盟立,M2331,,23H,,M2331 其他電子業,M23H1 廠辦機電
590,,2465.0,麗臺,M2325,,23B,,M2325 電腦及週邊,M23B4A 繪圖卡
591,,2466.0,冠西電,M2326,,23C,,M2326 光電業,M23C6C 封裝及應用
592,,2467.0,志聖,M2328,,23H,,M2328 電子零組件,M23H2 電機設備
593,,2468.0,華經,M2330,,23X,,M2330 資訊服務業,M23X1 系統整合
594,,2471.0,資通,M2330,,23X,,M2330 資訊服務業,M23X1 系統整合
595,,2472.0,立隆電,M2328,,23D,,M2328 電子零組件,M23D5 被動元件
596,,2474.0,可成,M2331,,23D,,M2331 其他電子業,M23D4 機殼
597,,2476.0,鉅祥,M2328,,23D,,M2328 電子零組件,M23D9A 沖壓零組件
598,,2477.0,美隆電,M2331,,23U,,M2331 其他電子業,M23U2 聲學產品
599,,2478.0,大毅,M2328,,23D,,M2328 電子零組件,M23D5 被動元件
600,,2480.0,敦陽科,M2330,,23X,,M2330 資訊服務業,M23X1 系統整合
601,,2481.0,強茂,M2324,,23D,,M2324 半導體,M23D1 整流二極體
602,,2482.0,連宇,M2331,,23C,,M2331 其他電子業,M23C3 PC週邊
603,,2483.0,百容,M2328,,23D,,M2328 電子零組件,M23D9A 沖壓零組件
604,,2484.0,希華,M2328,,23D,,M2328 電子零組件,M23D6 石英元件
605,,2485.0,兆赫,M2327,,23K,,M2327 通信網路業,M23K2 衛星微波
606,,2486.0,一詮,M2326,,23D,,M2326 光電業,M23D9C 光電導線架
607,,2488.0,漢平,M2331,,23U,,M2331 其他電子業,M23U2 聲學產品
608,,2489.0,瑞軒,M2326,,23C,,M2326 光電業,M23C1 顯示器
609,,2491.0,吉祥全,M2326,,15C,,M2326 光電業,M15C4 照明
610,,2492.0,華新科,M2328,,23D,,M2328 電子零組件,M23D5 被動元件
611,,2493.0,揚博,M2328,,23H,,M2328 電子零組件,M23H2 電機設備
612,,2495.0,普安,M2331,,23C,,M2331 其他電子業,M23C4B 硬碟磁碟
613,,2496.0,卓越,M9900,,99Z,,M9900 其他,M99ZX 其他服務業
614,,2498.0,宏達電,M2327,,23K,,M2327 通信網路業,M23KX 其他網通
615,,2501.0,國建,M2500,,25A,,M2500 建材營造,M25A 建設
616,,2504.0,國產,M2500,,11B,,M2500 建材營造,M11B 預拌混凝土
617,,2506.0,太設,M2500,,25A,,M2500 建材營造,M25A 建設
618,,2509.0,全坤建,M2500,,25A,,M2500 建材營造,M25A 建設
619,,2511.0,太子,M2500,,25A,,M2500 建材營造,M25A 建設
620,,2514.0,龍邦,M9900,,25A,,M9900 其他,M25A 建設
621,,2516.0,新建,M2500,,25B,,M2500 建材營造,M25B 營造
