,st_code,st_name,rev_period,rev,new_industry_name,minor_industry_name,Year,month,mom,yoy,yoy年成長大於10,yoy成長,yoy衰退,yoy近五月大於10,yoy連續大於10,yoy近五月成長,yoy連續成長,yoy近五月衰退,yoy連續衰退
141,3376,新日興,* 2023/02,682227,M2328 電子零組件,M23D9A 沖壓零組件,2023,2,-33.91%,1.92%,0,1,0,0,0,2,2,3,0
140,3374,精材,* 2023/02,505216,M2324 半導體,M23G2 IC封測,2023,2,12.57%,1.39%,0,1,0,0,0,4,2,1,0
37,2231,為升,* 2023/02,278391,M2200 汽車工業,M15D 汽車組件,2023,2,-13.52%,1.06%,0,1,0,0,0,2,1,3,0
211,9939,宏全,* 2023/02,1538779,M9900 其他,M13B 塑膠製品,2023,2,-23.65%,0.63%,0,0,1,0,0,1,0,4,3
68,2388,威盛,* 2023/02,520911,M2324 半導體,M23G5 IC設計,2023,2,-4.99%,0.50%,0,1,0,0,0,2,1,3,0
102,2834,臺企銀,* 2023/02,2061861,M2800 金融業,M28A 本國銀行,2023,2,-27.03%,-0.48%,0,0,1,0,0,3,0,2,1
208,9904,寶成,* 2023/02,18053812,M9900 其他,M99K 鞋及旅行箱,2023,2,-27.21%,-0.76%,0,1,0,0,0,2,2,3,0
49,2332,友訊,* 2023/02,1268453,M2327 通信網路業,M23E2 網路卡,2023,2,-11.61%,-1.00%,0,0,1,0,0,2,0,3,1
127,3045,台灣大,* 2023/02,12042331,M2327 通信網路業,M23K3 電信及IDC,2023,2,-18.72%,-1.93%,0,0,1,0,0,3,0,2,2
107,2884,玉山金,* 2023/02,3755606,M2800 金融業,M28L 金融控股,2023,2,-40.13%,-2.09%,0,0,1,0,0,3,0,2,1
137,3264,欣銓,* 2023/02,941204,M2324 半導體,M23G2 IC封測,2023,2,-18.23%,-2.10%,0,0,1,0,0,1,0,4,4
58,2355,敬鵬,* 2023/02,1231850,M2328 電子零組件,M23B2D 硬板及其他,2023,2,-9.85%,-2.36%,0,1,0,0,0,3,2,2,0
189,6279,胡連,* 2023/02,371103,M2328 電子零組件,M15D 汽車組件,2023,2,-26.97%,-2.36%,0,0,1,0,0,0,0,5,6
124,3037,欣興,* 2023/02,9315343,M2328 電子零組件,M23B2D 硬板及其他,2023,2,-11.24%,-2.49%,0,0,1,0,0,0,0,5,5
17,1565,精華,* 2023/02,358067,M1722 生技醫療,M17G 醫療耗材,2023,2,7.30%,-2.75%,0,1,0,0,0,3,1,2,0
24,1722,台肥,* 2023/02,1074053,M1721 化學工業,M17C3 農藥肥料,2023,2,-7.45%,-2.99%,0,1,0,0,0,2,2,3,0
4,1216,統一,* 2023/02,33064258,M1200 食品工業,M12C 飲料乳品,2023,2,-27.99%,-3.07%,0,1,0,0,0,2,1,3,0
159,4904,遠傳,* 2023/02,6541232,M2327 通信網路業,M23K3 電信及IDC,2023,2,-16.24%,-3.16%,0,0,1,0,0,1,0,4,2
148,3533,嘉澤,* 2023/02,1334674,M2328 電子零組件,M23D2 連接器,2023,2,-18.33%,-3.77%,0,1,0,0,0,2,1,3,0
169,5425,台半,* 2023/02,1035716,M2324 半導體,M23D1 整流二極體,2023,2,-12.63%,-3.93%,0,1,0,0,0,2,1,3,0
151,3673,TPK-KY,* 2023/02,6546742,M2326 光電業,M23C8E 觸控面板,2023,2,19.25%,-3.96%,0,1,0,0,0,2,1,3,0
29,2002,中鋼,* 2023/02,32102453,M2000 鋼鐵工業,M20A3 鋼板,2023,2,-3.25%,-4.23%,0,1,0,0,0,4,3,1,0
32,2027,大成鋼,* 2023/02,8612544,M2000 鋼鐵工業,M20A6 不鏽鋼,2023,2,-5.16%,-4.25%,0,0,1,0,0,2,0,3,1
75,2412,中華電,* 2023/02,15813242,M2327 通信網路業,M23K3 電信及IDC,2023,2,-10.98%,-4.48%,0,0,1,0,0,2,0,3,1
47,2330,台積電,* 2023/02,140136439,M2324 半導體,M23G1A 晶圓代工,2023,2,-29.95%,-4.63%,0,0,1,0,0,1,0,4,4
142,3380,明泰,* 2023/02,1984766,M2327 通信網路業,M23E2 網路卡,2023,2,-6.50%,-4.63%,0,0,1,0,0,2,0,3,3
123,3036,文曄,* 2023/02,30959611,M2329 電子通路業,M23T2 零組件代理,2023,2,-30.33%,-4.75%,0,1,0,0,0,3,1,2,0
84,2485,兆赫,* 2023/02,347541,M2327 通信網路業,M23K2 衛星微波,2023,2,-32.22%,-4.90%,0,0,1,0,0,2,0,3,3
207,8942,森鉅,* 2023/02,362055,M9900 其他,M13A8 塑膠加工,2023,2,3.43%,-5.65%,0,1,0,0,0,2,1,3,0
78,2449,京元電子,* 2023/02,2450379,M2324 半導體,M23G2 IC封測,2023,2,-4.44%,-5.97%,0,1,0,0,0,2,1,3,0
192,6414,樺漢,* 2023/02,6358451,M2325 電腦及週邊,M23B5B 工業電腦,2023,2,-28.12%,-5.98%,0,0,1,0,0,1,0,4,4
173,5871,中租-KY,* 2023/02,5730282,M9900 其他,M28K 租賃業,2023,2,-26.38%,-6.04%,0,0,1,0,0,2,0,3,1
120,3019,亞光,* 2023/02,1042296,M2326 光電業,M23U1 光學鏡頭,2023,2,-3.35%,-6.16%,0,1,0,0,0,1,1,4,0
181,6182,合晶,* 2023/02,926438,M2324 半導體,M23G3C 晶圓材料,2023,2,-3.70%,-6.50%,0,0,1,0,0,0,0,5,8
36,2201,裕隆,* 2023/02,4690494,M2200 汽車工業,M22A 汽車製造,2023,2,-28.95%,-6.63%,0,1,0,0,0,3,1,2,0
210,9938,百和,* 2023/02,1034889,M9900 其他,M14Z 其他紡織,2023,2,32.78%,-6.66%,0,1,0,0,0,2,1,3,0
94,2606,裕民,* 2023/02,746762,M2600 航運業,M26A1 散裝輪,2023,2,-14.31%,-7.00%,0,1,0,0,0,4,3,1,0
12,1440,南紡,* 2023/02,1808000,M1400 紡織纖維,M14A1 聚酯絲棉,2023,2,1.35%,-7.07%,0,0,1,0,0,1,0,4,1
171,5483,中美晶,* 2023/02,5684663,M2324 半導體,M23G3C 晶圓材料,2023,2,-14.61%,-7.37%,0,0,1,0,0,1,0,4,4
10,1326,台化,* 2023/02,26590079,M1300 塑膠工業,M13A1 泛用塑膠,2023,2,3.96%,-7.41%,0,1,0,0,0,2,1,3,0
11,1402,遠東新,* 2023/02,17974628,M1400 紡織纖維,M14A1 聚酯絲棉,2023,2,-5.07%,-7.54%,0,0,1,0,0,1,0,4,1
26,1904,正隆,* 2023/02,3037241,M1900 造紙工業,M19A 造紙,2023,2,-9.67%,-7.54%,0,1,0,0,0,3,2,2,0
206,8436,大江,* 2023/02,447151,M1722 生技醫療,M17C2 機能性食品,2023,2,-32.44%,-7.72%,0,0,1,0,0,2,0,3,1
51,2338,光罩,* 2023/02,502220,M2324 半導體,M23G6 其他半導體,2023,2,7.02%,-7.80%,0,1,0,0,0,2,1,3,0
27,1907,永豐餘,* 2023/02,4940945,M1900 造紙工業,M19A 造紙,2023,2,3.33%,-7.90%,0,1,0,0,0,1,1,4,0
109,2886,兆豐金,* 2023/02,4344016,M2800 金融業,M28L 金融控股,2023,2,4.59%,-8.49%,0,0,1,0,0,3,0,2,1
194,6488,環球晶,* 2023/02,4901658,M2324 半導體,M23G3C 晶圓材料,2023,2,-17.34%,-8.49%,0,0,1,0,0,2,0,3,2
40,2308,台達電,* 2023/02,23419994,M2328 電子零組件,M23D3 電源供應器,2023,2,-18.15%,-8.59%,0,0,1,0,0,0,0,5,6
39,2303,聯電,* 2023/02,18973575,M2324 半導體,M23G1A 晶圓代工,2023,2,-3.14%,-8.82%,0,0,1,0,0,0,0,5,8
76,2439,美律,* 2023/02,1320272,M2327 通信網路業,M23U2 聲學產品,2023,2,-51.00%,-9.21%,0,0,1,0,0,2,0,3,1
96,2610,華航,* 2023/02,9675245,M2600 航運業,M26D 空運業,2023,2,-35.41%,-9.41%,0,0,1,0,0,2,0,3,1
31,2014,中鴻,* 2023/02,3408751,M2000 鋼鐵工業,M20A3 鋼板,2023,2,-0.26%,-9.49%,0,0,1,0,0,3,0,2,1
3,1210,大成,* 2023/02,6800021,M1200 食品工業,M12B 油脂飼料,2023,2,-26.01%,-9.53%,0,0,1,0,0,1,0,4,4
46,2328,廣宇,* 2023/02,1454536,M2328 電子零組件,M23D2 連接器,2023,2,-24.66%,-9.58%,0,1,0,0,0,3,1,2,0
195,6510,精測,* 2023/02,229552,M2324 半導體,M23B2D 硬板及其他,2023,2,6.14%,-9.80%,0,1,0,0,0,2,2,3,0
82,2474,可成,* 2023/02,1530899,M2331 其他電子業,M23D4 機殼,2023,2,29.66%,-10.07%,0,1,0,0,0,2,1,3,0
15,1504,東元,* 2023/02,3616978,M1500 電機機械,M15B1 電機,2023,2,-20.03%,-10.24%,0,0,1,0,0,1,0,4,4
138,3293,鈊象,* 2023/02,846243,M3200 文化創意業,M23X2 遊戲軟體,2023,2,-26.36%,-10.57%,0,0,1,0,0,2,0,3,2
35,2105,正新,* 2023/02,6207744,M2100 橡膠工業,M21A 輪胎,2023,2,-25.76%,-10.75%,0,0,1,0,0,1,0,4,1
186,6271,同欣電,* 2023/02,949843,M2324 半導體,M23G2 IC封測,2023,2,-6.12%,-11.07%,0,1,0,0,0,3,1,2,0
112,2890,永豐金,* 2023/02,3058612,M2800 金融業,M28L 金融控股,2023,2,-28.19%,-11.71%,0,0,1,0,0,1,0,4,2
66,2382,廣達,* 2023/02,79949607,M2325 電腦及週邊,M23A1 EMS,2023,2,-17.68%,-11.85%,0,0,1,0,0,1,0,4,1
89,2520,冠德,* 2023/02,1150106,M2500 建材營造,M25A 建設,2023,2,21.84%,-12.27%,0,1,0,0,0,3,1,2,0
110,2887,台新金,* 2023/02,4508009,M2800 金融業,M28L 金融控股,2023,2,-14.50%,-12.27%,0,0,1,0,0,1,0,4,4
197,8039,台虹,* 2023/02,495401,M2328 電子零組件,M23B3C FCCL,2023,2,20.83%,-12.68%,0,1,0,0,0,2,1,3,0
198,8044,網家,* 2023/02,3228062,M3400 電子商務,M23K4 電商及XaaS,2023,2,-9.21%,-12.75%,0,1,0,0,0,3,1,2,0
131,3152,璟德,* 2023/02,102725,M2327 通信網路業,M23D5 被動元件,2023,2,1.98%,-12.99%,0,1,0,0,0,4,1,1,0
69,2392,正崴,* 2023/02,4510972,M2328 電子零組件,M23D2 連接器,2023,2,-41.88%,-13.21%,0,0,1,0,0,1,0,4,1
30,2006,東和鋼鐵,* 2023/02,3529492,M2000 鋼鐵工業,M20A2 鋼筋,2023,2,-0.48%,-13.39%,0,1,0,0,0,2,1,3,0
199,8046,南電,* 2023/02,3564407,M2328 電子零組件,M23B2A IC載板,2023,2,-13.18%,-13.51%,0,1,0,0,0,2,1,3,0
166,5347,世界,* 2023/02,3629314,M2324 半導體,M23G1A 晶圓代工,2023,2,-0.28%,-14.50%,0,0,1,0,0,2,0,3,1
108,2885,元大金,* 2023/02,6552043,M2800 金融業,M28L 金融控股,2023,2,-24.55%,-14.54%,0,0,1,0,0,2,0,3,1
38,2301,光寶科,* 2023/02,9880721,M2325 電腦及週邊,M23C3 PC週邊,2023,2,-7.47%,-14.74%,0,1,0,0,0,1,1,4,0
183,6239,力成,* 2023/02,5507197,M2324 半導體,M23G2 IC封測,2023,2,10.13%,-15.03%,0,1,0,0,0,1,1,4,0
20,1702,南僑,* 2023/02,1074836,M1200 食品工業,M12B 油脂飼料,2023,2,-34.67%,-15.09%,0,0,1,0,0,2,0,3,3
149,3552,同致,* 2023/02,505684,M2331 其他電子業,M15D 汽車組件,2023,2,9.68%,-15.34%,0,1,0,0,0,2,1,3,0
43,2323,中環,* 2023/02,533144,M2326 光電業,M23C4A 光碟,2023,2,-5.78%,-15.36%,0,1,0,0,0,3,2,2,0
88,2515,中工,* 2023/02,1008249,M2500 建材營造,M25B 營造,2023,2,-20.10%,-15.53%,0,0,1,0,0,3,0,2,2
54,2347,聯強,* 2023/02,22485281,M2329 電子通路業,M23T1 3C通路,2023,2,-19.95%,-15.61%,0,1,0,0,0,2,2,3,0
164,5269,祥碩,* 2023/02,338777,M2324 半導體,M23G5 IC設計,2023,2,-2.99%,-15.68%,0,1,0,0,0,4,1,1,0
180,6176,瑞儀,* 2023/02,3439898,M2326 光電業,M23C8B 背光模組,2023,2,-27.65%,-15.78%,0,0,1,0,0,2,0,3,1
1,1101,台泥,* 2023/02,4562615,M1100 水泥工業,M11A 水泥製造,2023,2,-37.71%,-16.38%,0,0,1,0,0,2,0,3,2
13,1476,儒鴻,* 2023/02,2313104,M1400 紡織纖維,M14C1 成衣製造,2023,2,9.94%,-16.56%,0,1,0,0,0,1,1,4,0
175,6116,彩晶,* 2023/02,1229108,M2326 光電業,M23C8A LCD 面板,2023,2,-11.97%,-17.01%,0,1,0,0,0,3,2,2,0
135,3231,緯創,* 2023/02,53333097,M2325 電腦及週邊,M23A1 EMS,2023,2,-2.97%,-17.48%,0,1,0,0,0,2,1,3,0
143,3406,玉晶光,* 2023/02,693160,M2326 光電業,M23U1 光學鏡頭,2023,2,-48.57%,-17.56%,0,0,1,0,0,1,0,4,1
115,2913,農林,* 2023/02,25063,M2900 貿易百貨,M29B 貿易業,2023,2,-29.29%,-17.84%,0,0,1,0,0,2,0,3,2
60,2357,華碩,* 2023/02,32821629,M2325 電腦及週邊,M23A3 PC品牌,2023,2,-8.94%,-18.42%,0,0,1,0,0,1,0,4,1
41,2313,華通,* 2023/02,4122318,M2328 電子零組件,M23B2D 硬板及其他,2023,2,-16.01%,-18.54%,0,1,0,0,0,2,1,3,0
132,3189,景碩,* 2023/02,2360614,M2324 半導體,M23B2A IC載板,2023,2,11.21%,-18.88%,0,1,0,0,0,2,1,3,0
125,3042,晶技,* 2023/02,763140,M2328 電子零組件,M23D6 石英元件,2023,2,4.41%,-19.09%,0,1,0,0,0,3,1,2,0
187,6274,台燿,* 2023/02,1183156,M2328 電子零組件,M23B3A 銅箔基板,2023,2,9.23%,-19.24%,0,1,0,0,0,2,1,3,0
59,2356,英業達,* 2023/02,28658505,M2325 電腦及週邊,M23A1 EMS,2023,2,-25.39%,-19.47%,0,0,1,0,0,2,0,3,1
184,6257,矽格,* 2023/02,1151400,M2324 半導體,M23G2 IC封測,2023,2,-2.14%,-20.00%,0,0,1,0,0,1,0,4,3
22,1717,長興,* 2023/02,2612990,M1721 化學工業,M17F 樹脂,2023,2,-29.78%,-20.22%,0,0,1,0,0,2,0,3,1
70,2393,億光,* 2023/02,1278596,M2326 光電業,M23C6C 封裝及應用,2023,2,-21.08%,-20.36%,0,0,1,0,0,3,0,2,1
67,2383,台光電,* 2023/02,2302405,M2328 電子零組件,M23B3A 銅箔基板,2023,2,4.78%,-21.09%,0,1,0,0,0,1,1,4,0
86,2492,華新科,* 2023/02,2229936,M2328 電子零組件,M23D5 被動元件,2023,2,-17.30%,-21.15%,0,1,0,0,0,2,1,3,0
87,2498,宏達電,* 2023/02,251279,M2327 通信網路業,M23KX 其他網通,2023,2,17.01%,-21.38%,0,1,0,0,0,3,1,2,0
2,1102,亞泥,* 2023/02,3220684,M1100 水泥工業,M11A 水泥製造,2023,2,-33.10%,-21.46%,0,1,0,0,0,2,1,3,0
201,8086,宏捷科,* 2023/02,142510,M2324 半導體,M23G3A 化合物SEMI,2023,2,20.09%,-21.66%,0,1,0,0,0,4,4,1,0
205,8358,金居,* 2023/02,548831,M2328 電子零組件,M23B3X PCB材-其他,2023,2,0.41%,-21.68%,0,1,0,0,0,4,1,1,0
152,3691,碩禾,* 2023/02,387102,M2326 光電業,M23C7F 其他太陽能,2023,2,28.77%,-21.72%,0,1,0,0,0,2,1,3,0
64,2377,微星,* 2023/02,11637865,M2325 電腦及週邊,M23B1 主機板,2023,2,-20.17%,-21.74%,0,1,0,0,0,4,1,1,0
79,2454,聯發科,* 2023/02,31307362,M2324 半導體,M23G5 IC設計,2023,2,39.87%,-21.79%,0,1,0,0,0,2,1,3,0
177,6147,頎邦,* 2023/02,1617246,M2324 半導體,M23G2 IC封測,2023,2,13.01%,-21.88%,0,1,0,0,0,3,1,2,0
55,2352,佳世達,* 2023/02,13856616,M2325 電腦及週邊,M23C1 顯示器,2023,2,-12.26%,-22.46%,0,1,0,0,0,2,1,3,0
128,3078,僑威,* 2023/02,297609,M2328 電子零組件,M23D3 電源供應器,2023,2,-41.75%,-22.51%,0,1,0,0,0,3,1,2,0
14,1477,聚陽,* 2023/02,1980643,M1400 紡織纖維,M14C1 成衣製造,2023,2,-17.04%,-22.56%,0,0,1,0,0,3,0,2,1
8,1314,中石化,* 2023/02,1714153,M1300 塑膠工業,M13A5 化纖,2023,2,50.16%,-23.23%,0,1,0,0,0,3,3,2,0
126,3044,健鼎,* 2023/02,4035655,M2328 電子零組件,M23B2D 硬板及其他,2023,2,-13.43%,-23.59%,0,1,0,0,0,2,1,3,0
202,8150,南茂,* 2023/02,1601221,M2324 半導體,M23G2 IC封測,2023,2,20.38%,-23.64%,0,1,0,0,0,3,1,2,0
42,2317,鴻海,* 2023/02,345456416,M2331 其他電子業,M23A1 EMS,2023,2,-47.69%,-24.08%,0,0,1,0,0,2,0,3,1
134,3227,原相,* 2023/02,312600,M2324 半導體,M23G5 IC設計,2023,2,1.50%,-24.09%,0,1,0,0,0,4,1,1,0
136,3260,威剛,* 2023/02,2407393,M2324 半導體,M23G3B 記憶體模組,2023,2,10.57%,-24.43%,0,1,0,0,0,1,1,4,0
6,1303,南亞,* 2023/02,22481537,M1300 塑膠工業,M13A1 泛用塑膠,2023,2,10.80%,-24.62%,0,1,0,0,0,1,1,4,0
203,8163,達方,* 2023/02,1567379,M2325 電腦及週邊,M23C3 PC週邊,2023,2,-17.10%,-24.89%,0,1,0,0,0,2,1,3,0
65,2379,瑞昱,* 2023/02,6834958,M2324 半導體,M23G5 IC設計,2023,2,24.48%,-24.93%,0,1,0,0,0,1,1,4,0
122,3035,智原,* 2023/02,787956,M2324 半導體,M23G5 IC設計,2023,2,-26.70%,-25.01%,0,0,1,0,0,1,0,4,4
