,st_code,st_name,rev_period,rev,new_industry_name,minor_industry_name,Year,month,mom,yoy,yoy年成長大於10,yoy成長,yoy衰退,yoy近五月大於10,yoy連續大於10,yoy近五月成長,yoy連續成長,yoy近五月衰退,yoy連續衰退
160,4919,新唐,* 2023/02,2428581,M2324 半導體,M23G5 IC設計,2023,2,-9.80%,-30.54%,0,0,1,0,0,1,0,4,3
85,2489,瑞軒,* 2023/02,778005,M2326 光電業,M23C1 顯示器,2023,2,-30.25%,-30.56%,0,1,0,0,0,3,2,2,0
167,5371,中光電,* 2023/02,2772935,M2326 光電業,M23C8B 背光模組,2023,2,-24.01%,-30.90%,0,0,1,0,0,1,0,4,1
113,2891,中信金,* 2023/02,11799869,M2800 金融業,M28L 金融控股,2023,2,-30.63%,-31.06%,0,0,1,0,0,2,0,3,1
145,3481,群創,* 2023/02,15036653,M2326 光電業,M23C8A LCD 面板,2023,2,-11.70%,-31.49%,0,0,1,0,0,3,0,2,1
44,2324,仁寶,* 2023/02,56448730,M2325 電腦及週邊,M23A1 EMS,2023,2,-21.49%,-31.53%,0,0,1,0,0,1,0,4,1
74,2409,友達,* 2023/02,17451571,M2326 光電業,M23C8A LCD 面板,2023,2,-0.14%,-31.99%,0,1,0,0,0,5,6,0,0
80,2455,全新,* 2023/02,178511,M2327 通信網路業,M23G3A 化合物SEMI,2023,2,59.38%,-32.01%,0,1,0,0,0,3,1,2,0
63,2376,技嘉,* 2023/02,5997122,M2325 電腦及週邊,M23B1 主機板,2023,2,-27.04%,-32.59%,0,1,0,0,0,4,1,1,0
130,3105,穩懋,* 2023/02,1205548,M2324 半導體,M23G3A 化合物SEMI,2023,2,38.17%,-32.64%,0,1,0,0,0,1,1,4,0
92,2603,長榮,* 2023/02,37160191,M2600 航運業,M26A2 貨櫃輪,2023,2,41.61%,-32.81%,0,1,0,0,0,1,1,4,0
117,3006,晶豪科,* 2023/02,1034225,M2324 半導體,M23G5 IC設計,2023,2,31.30%,-33.88%,0,1,0,0,0,3,2,2,0
18,1590,亞德客-KY,* 2023/02,1107289,M1500 電機機械,M15A2 模具零件,2023,2,-24.04%,-35.56%,0,0,1,0,0,1,0,4,4
48,2331,精英,* 2023/02,1212435,M2325 電腦及週邊,M23B1 主機板,2023,2,-21.42%,-35.90%,0,1,0,0,0,4,3,1,0
56,2353,宏碁,* 2023/02,14634686,M2325 電腦及週邊,M23A3 PC品牌,2023,2,7.35%,-36.11%,0,1,0,0,0,3,1,2,0
185,6269,台郡,* 2023/02,1797505,M2328 電子零組件,M23B2C 軟板,2023,2,-41.97%,-36.19%,0,0,1,0,0,1,0,4,1
105,2882,國泰金,* 2023/02,22465929,M2800 金融業,M28L 金融控股,2023,2,-15.85%,-36.90%,0,1,0,0,0,4,3,1,0
146,3529,力旺,* 2023/02,147295,M2324 半導體,M23G5 IC設計,2023,2,-62.64%,-37.70%,0,0,1,0,0,3,0,2,2
162,4958,臻鼎-KY,* 2023/02,6166765,M2328 電子零組件,M23B2C 軟板,2023,2,-50.60%,-37.96%,0,0,1,0,0,2,0,3,1
188,6278,台表科,* 2023/02,3569891,M2326 光電業,M23B2B PCB 組裝,2023,2,41.33%,-38.55%,0,1,0,0,0,2,1,3,0
97,2615,萬海,* 2023/02,14213271,M2600 航運業,M26A2 貨櫃輪,2023,2,49.68%,-39.97%,0,1,0,0,0,1,1,4,0
25,1802,台玻,* 2023/02,2252221,M1800 玻璃陶瓷,M18 玻璃陶瓷,2023,2,-28.74%,-42.72%,0,0,1,0,0,3,0,2,1
73,2408,南亞科,* 2023/02,3667208,M2324 半導體,M23G1B 記憶體製造,2023,2,62.89%,-43.00%,0,1,0,0,0,1,1,4,0
121,3034,聯詠,* 2023/02,6682484,M2324 半導體,M23G5 IC設計,2023,2,-7.49%,-43.01%,0,0,1,0,0,3,0,2,2
81,2458,義隆,* 2023/02,626935,M2324 半導體,M23G5 IC設計,2023,2,-23.04%,-43.87%,0,0,1,0,0,1,0,4,1
106,2883,開發金,* 2023/02,6729095,M2800 金融業,M28L 金融控股,2023,2,-11.41%,-44.88%,0,0,1,0,0,2,0,3,1
71,2401,凌陽,* 2023/02,341477,M2324 半導體,M23G5 IC設計,2023,2,5.47%,-49.42%,0,1,0,0,0,2,1,3,0
57,2354,鴻準,* 2023/02,2863481,M2331 其他電子業,M23D4 機殼,2023,2,-68.94%,-49.85%,0,0,1,0,0,3,0,2,2
104,2881,富邦金,* 2023/02,18186083,M2800 金融業,M28L 金融控股,2023,2,12.64%,-56.75%,0,1,0,0,0,3,3,2,0
91,2548,華固,* 2023/02,207427,M2500 建材營造,M25A 建設,2023,2,-70.63%,-75.16%,0,0,1,0,0,2,0,3,1
